Position X,Position Y,Position Z
-1.532123,0.7458174,-1.039958
-1.532112,0.7458401,-1.039964
-1.532165,0.7459278,-1.039857
-1.532073,0.7456186,-1.039806
-1.532056,0.7455029,-1.039926
-1.532441,0.7456026,-1.039884
-1.532237,0.7458071,-1.039948
-1.532237,0.7458071,-1.039948
-1.532237,0.7458071,-1.039948
-1.532079,0.7457218,-1.03995
-1.532079,0.7457218,-1.03995
-1.532144,0.7456269,-1.039875
-1.532149,0.745512,-1.039973
-1.532158,0.7455498,-1.039992
-1.532158,0.7455598,-1.039999
-1.531919,0.7459104,-1.039904
-1.531916,0.7459339,-1.039907
-1.532199,0.7457895,-1.039902
-1.532039,0.7456154,-1.03995
-1.532027,0.7457415,-1.039993
-1.531974,0.7457391,-1.04002
-1.532056,0.7455575,-1.04011
-1.532038,0.7455322,-1.040127
-1.532191,0.7456331,-1.040133
-1.532188,0.7456383,-1.040154
-1.53206,0.7456579,-1.040028
-1.531979,0.7456125,-1.040052
-1.532162,0.7455089,-1.04012
-1.532172,0.7455105,-1.040125
-1.532248,0.7457505,-1.040005
-1.532325,0.7454798,-1.039988
-1.532217,0.7454854,-1.040029
-1.5324,0.7455695,-1.039983
-1.531977,0.7455935,-1.040011
-1.532245,0.745379,-1.040058
-1.532075,0.7455618,-1.040001
-1.532135,0.7457738,-1.039945
-1.532282,0.7453203,-1.039981
-1.532055,0.745461,-1.039986
-1.532055,0.7454515,-1.039996
-1.532244,0.7457511,-1.040062
-1.532377,0.7454432,-1.040086
-1.532142,0.745586,-1.040032
-1.532139,0.7455984,-1.040037
-1.532267,0.74549,-1.040035
-1.532289,0.7455225,-1.040072
-1.532311,0.7458324,-1.039889
-1.532253,0.7457039,-1.040027
-1.532269,0.7455851,-1.039987
-1.531889,0.745465,-1.040093
-1.532159,0.7455455,-1.039828
-1.532101,0.7455765,-1.040082
-1.531986,0.7456801,-1.040145
-1.532152,0.745648,-1.039966
-1.532139,0.7456679,-1.039971
