Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.1144257,-0.1762848,0.9776611,-0.03115845,-0.1685944,0.9851837
-0.1144257,-0.1762848,0.9776611,-0.03115845,-0.1685944,0.9851837
-0.1144257,-0.1762848,0.9776611,-0.03115845,-0.1685944,0.9851837
-0.1145325,-0.17453,0.9779663,-0.03100586,-0.1680298,0.9852905
-0.1145325,-0.17453,0.9779663,-0.03100586,-0.1680298,0.9852905
-0.1149445,-0.1732483,0.9781342,-0.03016663,-0.1682587,0.9852753
-0.1149445,-0.1732483,0.9781342,-0.03016663,-0.1682587,0.9852753
-0.1137848,-0.1752777,0.9779053,-0.03012085,-0.1683197,0.98526
-0.1147156,-0.1744537,0.977951,-0.03012085,-0.1682892,0.9852753
-0.1151581,-0.1752472,0.9777527,-0.02972412,-0.170166,0.9849548
-0.115097,-0.1755829,0.9777069,-0.02427673,-0.1730957,0.9846039
-0.1155548,-0.1745758,0.977829,-0.02467346,-0.1717682,0.9848175
-0.1151733,-0.1746826,0.9778595,-0.03016663,-0.170517,0.9848785
-0.1160126,-0.1741638,0.9778442,-0.03077698,-0.1696472,0.9850159
-0.117157,-0.1726227,0.9779816,-0.02461243,-0.1718292,0.9848022
-0.1172485,-0.1729431,0.9779205,-0.03045654,-0.167572,0.9853821
-0.1168671,-0.1758423,0.9774475,-0.03038025,-0.1656647,0.9857025
-0.1167145,-0.1730804,0.977951,-0.03030396,-0.1654968,0.985733
-0.1161804,-0.172287,0.9781647,-0.03121948,-0.1625671,0.9861908
-0.1159058,-0.171524,0.9783325,-0.03059387,-0.162674,0.9861908
-0.1163788,-0.1710205,0.978363,-0.03071594,-0.1629486,0.986145
-0.1168976,-0.1712189,0.9782715,-0.03019714,-0.1637878,0.9860229
-0.1154175,-0.1704865,0.9785614,-0.03062439,-0.1635284,0.9860535
-0.1155396,-0.1713867,0.9783936,-0.03016663,-0.1639099,0.9860077
-0.1152649,-0.1716919,0.9783783,-0.03132629,-0.1642609,0.9859161
-0.1157227,-0.1712646,0.9783936,-0.03077698,-0.1649475,0.9858093
-0.1135864,-0.1714172,0.9786224,-0.03044128,-0.1641083,0.9859619
-0.1134949,-0.1719055,0.9785461,-0.02908325,-0.1660614,0.985672
-0.113739,-0.1710358,0.9786682,-0.02957153,-0.1659088,0.9856873
-0.1134644,-0.1694183,0.9789734,-0.02967834,-0.1666107,0.9855652
-0.1135254,-0.16745,0.9793091,-0.03004456,-0.1657562,0.9857025
-0.1136627,-0.1695099,0.9789429,-0.02981567,-0.1645203,0.9859161
-0.1134338,-0.1701965,0.9788513,-0.02891541,-0.1648712,0.9858856
-0.113327,-0.1688232,0.9790955,-0.02896118,-0.1647644,0.9859009
-0.1139374,-0.1697388,0.9788666,-0.02900696,-0.1649933,0.9858551
-0.1138916,-0.1696472,0.9788971,-0.02897644,-0.1625671,0.9862671
-0.1139679,-0.169342,0.9789429,-0.0289917,-0.1625366,0.9862671
