Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.1157684,-0.1815491,0.976532,-0.03074646,-0.1762695,0.9838562
-0.1168518,-0.1829224,0.9761505,-0.03137207,-0.1746368,0.9841156
-0.1168823,-0.1819916,0.9763184,-0.03129578,-0.1747284,0.9841156
-0.1168823,-0.1819916,0.9763184,-0.03129578,-0.1747284,0.9841156
-0.1160431,-0.183136,0.9762115,-0.03155518,-0.1746216,0.9841156
-0.1168518,-0.1817474,0.9763641,-0.03125,-0.1747894,0.9841003
-0.1168518,-0.1817474,0.9763641,-0.03125,-0.1747894,0.9841003
-0.1144714,-0.1825714,0.9765015,-0.03086853,-0.1747437,0.9841156
-0.1146088,-0.1828766,0.9764252,-0.03138733,-0.1751251,0.9840393
-0.115036,-0.1828613,0.9763794,-0.03147888,-0.1751099,0.9840393
-0.1153717,-0.1828461,0.9763336,-0.03089905,-0.1738739,0.9842682
-0.1174774,-0.1831055,0.9760437,-0.03076172,-0.1743469,0.9841919
-0.1176605,-0.1822357,0.976181,-0.03065491,-0.174469,0.9841766
-0.1174469,-0.182312,0.9761963,-0.03089905,-0.1737671,0.9842987
-0.1179047,-0.1812134,0.9763489,-0.03123474,-0.1731262,0.9843903
-0.117981,-0.1788483,0.9767609,-0.03121948,-0.1730804,0.9844055
-0.1160431,-0.178833,0.977005,-0.03128052,-0.1740112,0.9842377
-0.1160126,-0.1788177,0.977005,-0.03128052,-0.173996,0.9842377
-0.1160126,-0.1789398,0.9769897,-0.03144836,-0.1736603,0.9842987
-0.1160583,-0.1787262,0.9770203,-0.03126526,-0.1736603,0.9842987
-0.1168671,-0.1784973,0.9769592,-0.03030396,-0.1737823,0.984314
-0.1171265,-0.1788635,0.9768677,-0.03010559,-0.1736603,0.9843292
-0.1162567,-0.1813965,0.9765015,-0.02957153,-0.1738892,0.984314
-0.1153717,-0.1820831,0.9764862,-0.02970886,-0.1731873,0.984436
-0.1141052,-0.1827698,0.9765015,-0.02941895,-0.1721954,0.9846191
-0.1138458,-0.182785,0.976532,-0.02944946,-0.172287,0.9845886
-0.1141663,-0.1828156,0.9764862,-0.02891541,-0.173233,0.9844513
-0.1141663,-0.1829376,0.9764557,-0.02838135,-0.1737518,0.984375
-0.1134949,-0.1825104,0.9766235,-0.0284729,-0.1737671,0.9843597
-0.1137695,-0.181427,0.9767914,-0.02835083,-0.174118,0.984314
-0.1134338,-0.1807098,0.9769592,-0.02949524,-0.1738434,0.9843292
-0.1138,-0.1808777,0.9768829,-0.02973938,-0.1737213,0.9843445
-0.1141968,-0.1806946,0.9768829,-0.02809143,-0.1735687,0.9844055
-0.1142731,-0.1808167,0.9768372,-0.02975464,-0.1736298,0.9843597
-0.1144562,-0.1806335,0.9768524,-0.02940369,-0.1728363,0.9844971
-0.1136322,-0.1806793,0.976944,-0.02963257,-0.1717987,0.9846802
-0.1135559,-0.1790009,0.9772644,-0.03044128,-0.1723175,0.9845581
-0.1135559,-0.1788025,0.9772949,-0.03044128,-0.172348,0.9845581
-0.1158295,-0.1775818,0.9772491,-0.02922058,-0.1719971,0.9846497
-0.1156006,-0.1779785,0.9772186,-0.02978516,-0.1715088,0.984726
-0.1149445,-0.1780396,0.9772797,-0.02944946,-0.1722107,0.9846039
-0.1160431,-0.1763153,0.9774628,-0.02919006,-0.1737671,0.9843445
-0.1159973,-0.1769714,0.9773407,-0.0291748,-0.1734619,0.9844055
-0.116394,-0.1766052,0.9773712,-0.02906799,-0.1728516,0.9845123
-0.1163635,-0.1765747,0.9773712,-0.02975464,-0.1730652,0.9844513
-0.116272,-0.177063,0.9772949,-0.02972412,-0.172821,0.9844971
-0.1147461,-0.1766663,0.9775543,-0.02973938,-0.1724396,0.9845581
-0.1162109,-0.1770325,0.9773102,-0.02964783,-0.1713409,0.9847565
-0.116272,-0.1773071,0.9772491,-0.03001404,-0.1715393,0.9847107
-0.1173401,-0.1772766,0.9771271,-0.03027344,-0.1715088,0.9847107
-0.1174164,-0.177124,0.9771423,-0.03015137,-0.1714325,0.984726
-0.1186066,-0.1770477,0.9770203,-0.03009033,-0.1714325,0.984726
-0.118042,-0.1780396,0.9769135,-0.0308075,-0.1716461,0.9846649
-0.1190948,-0.1777039,0.9768372,-0.03045654,-0.1717224,0.9846649
-0.1195374,-0.1778412,0.9767609,-0.03111267,-0.172226,0.9845581
-0.1203766,-0.1779022,0.9766541,-0.03271484,-0.1716309,0.9846039
-0.1206055,-0.178009,0.976593,-0.03086853,-0.1710052,0.9847717
-0.1209717,-0.177948,0.9765625,-0.03045654,-0.1709747,0.9848022
-0.1218872,-0.1785126,0.9763489,-0.03056335,-0.1722717,0.9845581
-0.1220856,-0.179184,0.9761963,-0.03201294,-0.1714783,0.9846649
-0.1228333,-0.1800537,0.9759521,-0.03182983,-0.1717834,0.9846039
-0.1258545,-0.1805115,0.9754791,-0.03024292,-0.1710358,0.984787
-0.1258545,-0.1805878,0.9754639,-0.03025818,-0.1713562,0.9847412
-0.1259918,-0.1808929,0.9753876,-0.03038025,-0.1713562,0.984726
-0.1259918,-0.1809692,0.9753723,-0.0304718,-0.1713104,0.9847412
-0.1259918,-0.1806488,0.9754333,-0.03030396,-0.171524,0.9847107
-0.1245728,-0.1807556,0.9756012,-0.02990723,-0.1713715,0.9847412
-0.1242218,-0.1808777,0.9756165,-0.03068542,-0.1733704,0.984375
-0.1242218,-0.1808777,0.9756165,-0.03068542,-0.1733704,0.984375
-0.1242676,-0.1811829,0.9755554,-0.03070068,-0.1739807,0.9842682
-0.1242676,-0.1811829,0.9755554,-0.03070068,-0.1739807,0.9842682
-0.127594,-0.1808167,0.9751892,-0.03201294,-0.1735229,0.9842987
-0.1274872,-0.1810608,0.9751587,-0.03201294,-0.1740112,0.9842072
-0.1301575,-0.1818695,0.9746552,-0.0319519,-0.1726532,0.9844513
-0.1322021,-0.1832275,0.9741364,-0.03250122,-0.172699,0.984436
-0.1321411,-0.1831665,0.9741516,-0.03251648,-0.1722717,0.9844971
-0.1318359,-0.1828461,0.9742584,-0.03297424,-0.1744385,0.9841003
-0.1301727,-0.1829529,0.9744568,-0.03291321,-0.1744385,0.9841003
-0.1318054,-0.1830597,0.9742126,-0.03248596,-0.1746063,0.9841003
-0.1318054,-0.1832275,0.9741821,-0.03161621,-0.1747437,0.9841003
-0.1320648,-0.1811676,0.9745331,-0.03137207,-0.1733398,0.9843597
-0.1325073,-0.1812134,0.974472,-0.0315094,-0.1729889,0.9844055
-0.1324005,-0.1795959,0.9747772,-0.03192139,-0.1734161,0.9843292
-0.1324615,-0.1795807,0.9747772,-0.03208923,-0.1742096,0.9841766
-0.1324921,-0.1796265,0.974762,-0.03219604,-0.1739655,0.9842224
-0.1336365,-0.1813965,0.9742737,-0.0322113,-0.1721649,0.9845276
-0.1336365,-0.1813965,0.9742737,-0.0322113,-0.1721649,0.9845276
-0.1333313,-0.1817169,0.9742584,-0.03269958,-0.1734161,0.9842987
-0.1316223,-0.1822052,0.9743958,-0.03225708,-0.1723633,0.9844971
-0.1316376,-0.1822815,0.9743805,-0.03189087,-0.1726837,0.9844513
-0.1318054,-0.1826324,0.9742889,-0.02935791,-0.1722107,0.9846191
-0.1317444,-0.1826935,0.9742889,-0.0297699,-0.1717682,0.9846802
-0.1320343,-0.1827393,0.9742432,-0.03103638,-0.1713409,0.9847107
-0.1325684,-0.183136,0.9741058,-0.03172302,-0.1707458,0.984787
-0.1350861,-0.1813965,0.9740753,-0.03291321,-0.1674652,0.985321
-0.1351471,-0.1815796,0.9740295,-0.03207397,-0.1691742,0.9850616
-0.1352539,-0.1812439,0.9740753,-0.03300476,-0.1716309,0.9846039
-0.1353302,-0.181015,0.9741058,-0.03285217,-0.1723938,0.9844666
-0.1363983,-0.1821136,0.9737549,-0.03285217,-0.1768799,0.9836731
-0.1364594,-0.1820221,0.9737701,-0.03340149,-0.1768951,0.9836578
-0.1372223,-0.182785,0.9735107,-0.03344727,-0.1767426,0.9836731
-0.136734,-0.182663,0.9736176,-0.03230286,-0.1766052,0.9837494
-0.1376953,-0.1817017,0.9736481,-0.03518677,-0.1767426,0.9836121
-0.1381073,-0.1818695,0.9735718,-0.03723145,-0.1723938,0.984314
-0.1369781,-0.1830597,0.9734955,-0.03668213,-0.1724091,0.9843292
-0.1375122,-0.1840515,0.9732361,-0.03686523,-0.1719055,0.9844208
