Position X,Position Y,Position Z
-1.588286,0.7203062,-1.005033
-1.587429,0.7202544,-1.005204
-1.587344,0.7202737,-1.005203
-1.588614,0.7198865,-1.00518
-1.588567,0.7199132,-1.005189
-1.588751,0.7197497,-1.00523
-1.588668,0.7197831,-1.004987
-1.58862,0.7197962,-1.004979
-1.588323,0.7197275,-1.005044
-1.588366,0.7196879,-1.00515
-1.588366,0.7196879,-1.00515
-1.590147,0.7192597,-1.004861
-1.589602,0.7192833,-1.005014
-1.589383,0.7194328,-1.004942
-1.58922,0.7194252,-1.005107
-1.589179,0.7194288,-1.005122
-1.590384,0.7189903,-1.005183
-1.59057,0.7191424,-1.004884
-1.590804,0.7184036,-1.004849
-1.590985,0.7181771,-1.004655
-1.591064,0.7184684,-1.004689
-1.591051,0.7184892,-1.004684
-1.591877,0.7179728,-1.004687
-1.591733,0.7181041,-1.004677
-1.591403,0.7181442,-1.004724
-1.590992,0.7180824,-1.004833
-1.590589,0.7185051,-1.004768
-1.590548,0.7185187,-1.004768
-1.590682,0.7186646,-1.004848
-1.589407,0.7194543,-1.004987
-1.591286,0.7183175,-1.00467
-1.590923,0.7183964,-1.00479
-1.589431,0.7192872,-1.004959
-1.589387,0.7193072,-1.004968
-1.589219,0.7195394,-1.005035
-1.589667,0.7192268,-1.005028
-1.58983,0.7189865,-1.004974
-1.589877,0.7190526,-1.005009
-1.589856,0.7190814,-1.005013
-1.588437,0.7200723,-1.00518
-1.588046,0.7200809,-1.005081
-1.588154,0.7199264,-1.005105
-1.588891,0.7195704,-1.005024
-1.58874,0.7195861,-1.00508
-1.58868,0.7196026,-1.005092
-1.588804,0.7199287,-1.005037
-1.588769,0.7199805,-1.005048
-1.58856,0.719871,-1.005088
-1.587358,0.7206542,-1.005323
-1.588675,0.7199123,-1.005192
-1.58862,0.719955,-1.005218
-1.588532,0.7200165,-1.005262
-1.588467,0.7200637,-1.005288
-1.58837,0.7201531,-1.005328
-1.588307,0.7201946,-1.005337
-1.588589,0.7201521,-1.005131
-1.588826,0.720027,-1.004976
-1.586317,0.7212956,-1.005432
-1.586239,0.7213383,-1.005462
-1.5845,0.7225204,-1.005642
-1.582827,0.7236378,-1.005814
-1.583582,0.7227747,-1.005806
-1.583811,0.7228546,-1.005707
-1.583693,0.7229109,-1.00573
-1.584235,0.7225306,-1.005533
-1.584235,0.7225306,-1.005533
-1.584839,0.7219698,-1.005424
-1.585271,0.7217298,-1.005371
-1.58517,0.7217686,-1.005374
-1.585654,0.7213819,-1.005449
-1.586567,0.7208986,-1.005239
-1.586477,0.7209387,-1.005242
-1.58674,0.7206693,-1.005239
-1.586836,0.720969,-1.005246
-1.586836,0.720969,-1.005246
-1.586849,0.7209208,-1.005375
-1.588604,0.7198446,-1.00507
-1.588604,0.7198446,-1.00507
-1.588367,0.7196832,-1.005119
-1.587871,0.7199721,-1.005069
-1.58781,0.719991,-1.005074
-1.589373,0.7192965,-1.004859
-1.589291,0.7192698,-1.004884
-1.589249,0.7192848,-1.004874
-1.588216,0.7200611,-1.00512
-1.587963,0.7200112,-1.005121
-1.587917,0.7200217,-1.005126
-1.588822,0.719768,-1.005111
-1.588575,0.7197607,-1.005091
-1.588536,0.7197838,-1.005098
-1.588495,0.7197073,-1.005082
-1.588492,0.7197363,-1.005125
