Position X,Position Y,Position Z
-1.540055,0.7413287,-1.026937
-1.540795,0.7411737,-1.026927
-1.540792,0.7411728,-1.026932
-1.541095,0.740833,-1.026872
-1.541095,0.740833,-1.026872
-1.541095,0.740833,-1.026872
-1.541095,0.740833,-1.026872
-1.541095,0.740833,-1.026872
-1.541031,0.7409897,-1.027024
-1.541031,0.7409897,-1.027024
-1.541197,0.741164,-1.026855
-1.540445,0.7409916,-1.027026
-1.540893,0.7410657,-1.026802
-1.541226,0.740808,-1.026845
-1.541269,0.7407873,-1.026837
-1.541271,0.7407737,-1.026886
-1.541507,0.7406857,-1.026679
-1.540811,0.7406559,-1.027013
-1.541353,0.7407022,-1.026999
-1.541592,0.7408447,-1.026857
-1.541613,0.7408426,-1.026849
-1.54128,0.7404993,-1.026955
-1.541238,0.7405727,-1.026832
-1.54088,0.7407844,-1.026783
-1.541082,0.7405868,-1.026892
-1.5417,0.7408152,-1.026846
-1.541759,0.7408135,-1.026835
-1.54157,0.7406375,-1.026811
-1.540609,0.7406535,-1.026994
-1.541452,0.7404671,-1.026931
-1.541422,0.7406347,-1.026929
-1.541023,0.7408285,-1.026958
-1.541025,0.7408297,-1.026957
-1.541198,0.7407675,-1.026973
-1.540872,0.7407632,-1.02688
-1.540855,0.7406738,-1.02689
-1.541443,0.7408397,-1.026836
-1.541476,0.7407942,-1.026815
-1.541511,0.7407904,-1.026799
-1.541191,0.7407596,-1.026764
-1.541088,0.7408938,-1.026752
-1.540829,0.7408073,-1.026915
-1.54087,0.7409065,-1.026945
-1.54109,0.740968,-1.026934
-1.541101,0.7409785,-1.026943
-1.540699,0.7410269,-1.026972
-1.540356,0.7410603,-1.027012
-1.540549,0.7409947,-1.026972
-1.540549,0.7410507,-1.026929
-1.540527,0.7410665,-1.02694
-1.540534,0.7411456,-1.026913
-1.54052,0.7411556,-1.026901
-1.5402,0.7411053,-1.026886
-1.540119,0.7411344,-1.027016
-1.54047,0.7411737,-1.026977
-1.540453,0.7411795,-1.026978
-1.540384,0.7409492,-1.026931
-1.540356,0.7409351,-1.026937
-1.540496,0.7408397,-1.026854
-1.540537,0.7409999,-1.026817
-1.540536,0.7409639,-1.027012
-1.540531,0.7409585,-1.027017
-1.540256,0.7411561,-1.026784
-1.540246,0.7411563,-1.026778
-1.540056,0.7410367,-1.027011
-1.540556,0.7410927,-1.026873
-1.540108,0.7414012,-1.026889
-1.540103,0.7414265,-1.026888
-1.540208,0.7413292,-1.026889
-1.540208,0.7413292,-1.026889
-1.540208,0.7413292,-1.026889
-1.540208,0.7413292,-1.026889
-1.540208,0.7413292,-1.026889
-1.539801,0.7415283,-1.027085
-1.539801,0.7415283,-1.027085
-1.538879,0.741786,-1.027121
-1.539189,0.7418685,-1.027
-1.538648,0.7419703,-1.027166
-1.538397,0.7422664,-1.02718
-1.538324,0.742286,-1.027176
-1.538284,0.7422934,-1.02718
-1.538213,0.7423282,-1.027194
-1.538188,0.7423639,-1.027206
-1.538125,0.7424021,-1.027229
-1.538093,0.7424223,-1.027228
-1.538027,0.7424707,-1.027226
-1.538007,0.7424855,-1.027224
-1.537952,0.7425911,-1.027237
-1.537915,0.7426484,-1.027253
-1.53782,0.7427688,-1.027285
-1.537631,0.7429399,-1.027193
-1.537263,0.7427137,-1.027306
-1.538052,0.7424188,-1.027167
-1.538682,0.7421641,-1.027052
-1.538664,0.7421987,-1.027042
-1.538818,0.74213,-1.027057
-1.539228,0.742053,-1.026981
-1.538656,0.7421091,-1.027005
-1.538476,0.7420428,-1.027088
-1.539172,0.74196,-1.02705
-1.539142,0.7419953,-1.027052
-1.53922,0.7419329,-1.027068
-1.5389,0.7419419,-1.027045
-1.538618,0.7419913,-1.027073
-1.538627,0.7419205,-1.027049
-1.538843,0.7418654,-1.027061
-1.538807,0.7418914,-1.027076
-1.539082,0.7418814,-1.027149
-1.539131,0.7417638,-1.027036
-1.538568,0.7419462,-1.027085
-1.538795,0.7418718,-1.027179
-1.53876,0.7418838,-1.027198
-1.538899,0.7420223,-1.027121
-1.538962,0.7419086,-1.027069
-1.538917,0.7418711,-1.027071
-1.538942,0.7418468,-1.026973
-1.538513,0.7420318,-1.027108
-1.538487,0.7420504,-1.027123
-1.539028,0.7420912,-1.027174
-1.539454,0.7419813,-1.027005
-1.538694,0.7418218,-1.027111
-1.538834,0.7417951,-1.027013
-1.538964,0.741956,-1.026972
-1.538943,0.741971,-1.026972
-1.538861,0.742115,-1.027003
-1.53885,0.742136,-1.026988
-1.538702,0.7419586,-1.026927
-1.538571,0.7416978,-1.027116
-1.539284,0.7419114,-1.026946
-1.538955,0.7422063,-1.026942
-1.538659,0.7418513,-1.027035
-1.538641,0.7418563,-1.027053
-1.539088,0.7418392,-1.026895
-1.539515,0.7415533,-1.027001
-1.539341,0.7416952,-1.027174
-1.53934,0.741684,-1.027199
-1.540353,0.7417066,-1.026883
-1.539542,0.741657,-1.026965
-1.539102,0.7414384,-1.02704
-1.539892,0.7413831,-1.026834
-1.540193,0.7413256,-1.026838
-1.540215,0.7413037,-1.026824
-1.540166,0.7413611,-1.026868
-1.540186,0.7413194,-1.026771
-1.539739,0.7411599,-1.026882
-1.540042,0.7411764,-1.026928
-1.541334,0.740818,-1.026815
-1.541383,0.7407942,-1.026821
-1.541168,0.7406602,-1.026783
-1.540992,0.7406235,-1.026768
-1.540822,0.7406583,-1.026817
-1.540995,0.7405953,-1.026788
-1.541848,0.7404587,-1.026749
-1.541894,0.7404535,-1.026736
-1.540971,0.7405086,-1.02663
-1.540974,0.7404811,-1.02662
-1.541196,0.7404845,-1.026626
-1.541655,0.7404239,-1.026692
-1.541584,0.7404106,-1.026635
-1.541625,0.7403896,-1.026631
-1.541663,0.7402518,-1.026724
-1.541698,0.740221,-1.026717
-1.541838,0.7401826,-1.026616
-1.541993,0.7402766,-1.026729
-1.542141,0.7402956,-1.026736
-1.542189,0.7403016,-1.026746
-1.54161,0.7402995,-1.026709
-1.54161,0.7402995,-1.026709
-1.541631,0.7404835,-1.026703
-1.541761,0.7403576,-1.026682
-1.541718,0.7403214,-1.026724
-1.541698,0.7405,-1.026599
