Gaze Left X,Gaze Left Y,Gaze Left Z
-0.2595825,0.4745331,0.8410797
-0.2459259,0.5409546,0.8042908
-0.2426758,0.5521088,0.7976532
-0.2370911,0.5912018,0.770874
-0.2403107,0.5791779,0.7789612
-0.2441101,0.569046,0.7852173
-0.2359619,0.5681915,0.7883301
-0.2312775,0.5552826,0.7988434
-0.2312164,0.552887,0.8005219
-0.2326355,0.553772,0.7994995
-0.233139,0.5540009,0.7991943
-0.2327271,0.553894,0.7993774
-0.2329102,0.5562134,0.7977142
-0.2334442,0.5582886,0.7961121
-0.2343903,0.5701294,0.787384
-0.2468414,0.5918732,0.7672882
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.2393188,0.5793304,0.7791443
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.2034912,0.6001129,0.7735901
-0.2047119,0.5953979,0.7769012
-0.206665,0.5945587,0.7770233
-0.2077484,0.6048889,0.7687225
-0.2145386,0.6053772,0.7664642
-0.206192,0.5884399,0.7817841
-0.2040558,0.5847778,0.7850952
-0.204071,0.5851746,0.7848053
-0.2039948,0.5828552,0.7865448
-0.2017822,0.5827332,0.7872009
-0.2012329,0.5827637,0.787323
-0.2017517,0.5827637,0.7871857
-0.205307,0.581131,0.7874756
-0.2052765,0.5785217,0.7893982
-0.2181854,0.5802307,0.784668
-0.2183075,0.581192,0.7839203
-0.2140503,0.5774841,0.7878265
-0.2125092,0.5770111,0.7885895
-0.2112274,0.5649872,0.7975922
-0.2093048,0.5608521,0.8010101
-0.2094116,0.5022583,0.838974
-0.2186584,0.4857941,0.8462677
-0.2143707,0.3970337,0.8924103
-0.2031555,0.3517609,0.9137726
-0.2236938,0.3036957,0.9261169
-0.2401581,0.2745514,0.9310913
-0.2333527,0.2271118,0.9454803
-0.2171478,0.2123566,0.9527435
-0.2226563,0.1353302,0.9654541
-0.2352753,0.1242218,0.9639435
-0.2415314,0.02615356,0.9700317
-0.2387543,0.02061462,0.9708557
-0.2494354,-0.06210327,0.9663849
-0.2532501,-0.1049652,0.9616699
0,0,0
0,0,0
-0.2595062,-0.1639709,0.9517059
-0.2457428,-0.1856689,0.9513702
-0.2500458,-0.2213135,0.9425964
-0.2191467,-0.2419586,0.9452057
-0.2367249,-0.228714,0.9442596
-0.2398987,-0.2174225,0.9461365
-0.2417755,-0.2221832,0.9445343
-0.2574768,-0.2453613,0.9346008
-0.2722321,-0.2418823,0.9313202
-0.2776184,-0.2293549,0.9328918
-0.2512054,-0.1393738,0.95784
-0.283844,-0.1448669,0.9478607
-0.2311096,-0.2807465,0.9315338
-0.3218231,-0.2028809,0.9247894
-0.3165436,-0.2239227,0.9217529
-0.3285217,-0.2125092,0.9202728
-0.3009338,-0.107254,0.9475861
-0.276123,-0.09014893,0.9568787
-0.2516632,-0.06080627,0.9658966
-0.2470856,-0.07461548,0.9661102
-0.2498474,-0.0713501,0.9656372
-0.2535095,-0.07369995,0.9645081
-0.2545624,-0.07350159,0.9642487
-0.2675629,-0.0737915,0.9606934
-0.4220123,-0.223114,0.8786926
-0.3637848,-0.2703247,0.8913879
-0.2904663,-0.1732941,0.9410553
-0.2336884,-0.2371979,0.9429321
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.2597351,-0.3613586,0.8955078
-0.2538147,-0.3701172,0.893631
-0.1597443,-0.2990112,0.9407654
-0.2386627,-0.2954712,0.9250488
-0.3751068,0.1598663,0.9130707
-0.3265228,0.1966705,0.9244843
-0.2268677,0.2341461,0.9453583
-0.2222595,0.2432098,0.9441528
-0.2051697,0.2195892,0.9537659
-0.2246246,0.2391663,0.9446259
-0.1955719,0.2227325,0.9550476
-0.2008057,0.211853,0.9564362
-0.1916809,0.2316742,0.9537048
-0.2152252,0.2174225,0.9520416
-0.2448425,0.1966705,0.9493866
-0.2376709,0.199707,0.9505768
-0.2376251,0.2060394,0.949234
-0.240448,0.2082214,0.9480591
-0.2355804,0.2045746,0.9500732
-0.2361908,0.2064819,0.9495087
-0.234787,0.2039795,0.9503937
-0.2339783,0.204361,0.9505157
-0.2312164,0.2058716,0.9508667
-0.2287445,0.2068176,0.9512482
-0.2264252,0.2074738,0.9516602
-0.2259064,0.2078552,0.9517059
-0.235321,0.1703949,0.9568481
-0.2329865,0.161911,0.9588928
-0.2349091,0.1688995,0.9572144
-0.2342377,0.1714172,0.9569397
-0.2331085,0.1690369,0.9576416
-0.2323914,0.1656799,0.9584045
-0.2320404,0.1663361,0.958374
-0.2221527,0.1623077,0.9613953
-0.1945953,0.1108551,0.9745941
-0.1982574,0.1076202,0.9742126
-0.2024994,0.1110992,0.9729462
-0.2006531,0.1106262,0.9733887
-0.1980438,0.1100006,0.973999
-0.1984558,0.1099548,0.9739075
-0.1939545,0.1072235,0.9751282
-0.1788635,0.09104919,0.9796448
-0.1859283,0.07211304,0.9799042
-0.1813354,0.0690918,0.9809875
-0.1765594,0.07298279,0.9815674
-0.1760254,0.07325745,0.9816437
-0.1759186,0.07052612,0.9818726
-0.1756744,0.07008362,0.9819489
-0.1755371,0.06987,0.9819794
-0.1758423,0.06990051,0.9819183
-0.1754761,0.06948853,0.9820251
-0.1758423,0.0700531,0.9819183
-0.1938324,0.05403137,0.979538
-0.2146759,0.06129456,0.9747467
-0.2090454,0.05964661,0.9760742
-0.2098083,0.05821228,0.9759979
-0.2090149,0.05766296,0.9761963
-0.2084503,0.05845642,0.9762726
-0.2088013,0.05915833,0.9761505
-0.2084808,0.05931091,0.9762115
-0.2090149,0.06025696,0.9760437
-0.2089691,0.06007385,0.9760742
-0.2075958,0.06082153,0.9763184
-0.2076721,0.06092834,0.9762878
-0.2078094,0.05775452,0.9764557
-0.2127686,0.05635071,0.9754639
-0.2119751,0.05706787,0.9756012
-0.2111969,0.05696106,0.975769
-0.2108765,0.05712891,0.9758301
-0.210968,0.05725098,0.9757996
-0.2074127,0.05993652,0.9764099
-0.2154846,0.05639648,0.9748688
-0.2142334,0.05952454,0.9749603
-0.2158203,0.0581665,0.9746857
-0.2011261,0.05229187,0.9781647
-0.2011108,0.05683899,0.9779053
-0.2009888,0.0559082,0.9779816
-0.2008209,0.05688477,0.9779663
-0.2003174,0.05769348,0.9780273
-0.1997681,0.05813599,0.9781036
-0.1982574,0.07054138,0.9776001
-0.207489,0.07006836,0.975708
-0.2102203,0.07040405,0.9751129
-0.2086334,0.06994629,0.9754791
-0.209259,0.06971741,0.9753571
-0.2093353,0.07046509,0.975296
-0.2103729,0.0723877,0.9749298
-0.2112885,0.07226563,0.9747314
-0.2073517,0.09721375,0.9734192
-0.2020264,0.08586121,0.9756012
-0.2017517,0.1020813,0.9740906
-0.2015076,0.1018829,0.9741669
-0.1968231,0.1008148,0.975235
-0.1969757,0.08518982,0.9766846
-0.2003021,0.0740509,0.9769135
-0.2011108,0.07731628,0.9765015
-0.2116394,0.08717346,0.9734497
-0.2201538,0.07519531,0.9725494
-0.2249603,0.06263733,0.9723511
-0.2349854,0.07872009,0.9687958
-0.2384033,0.07174683,0.9685059
-0.2371063,0.07330322,0.9687042
-0.2367096,0.07443237,0.9687195
-0.2374115,0.07202148,0.9687195
-0.2422943,0.05625916,0.9685669
-0.243576,0.05281067,0.9684296
-0.2492981,0.03901672,0.9676361
-0.2490082,0.03485107,0.967865
-0.2455902,0.04003906,0.9685364
-0.2444611,0.03736877,0.9689331
-0.2407684,0.03715515,0.9698639
-0.2408752,0.03620911,0.9698792
-0.2326202,0.01330566,0.9724731
-0.231369,0.04154968,0.9719696
-0.2360535,0.03411865,0.9711304
-0.2412872,0.02677917,0.9700775
-0.2409363,0.022995,0.9702606
-0.2404633,0.03031921,0.9701691
-0.2349396,0.02641296,0.9716492
-0.2322235,0.02267456,0.9723816
-0.2321777,0.02893066,0.972229
-0.2314911,0.02870178,0.9724121
-0.226532,0.03085327,0.9735107
-0.2226105,0.03039551,0.9744263
-0.2175446,0.027771,0.975647
-0.2172546,0.02600098,0.9757538
-0.2159119,0.02853394,0.9759827
-0.2158966,0.02793884,0.9760132
-0.2169495,0.02757263,0.9757843
-0.2179871,0.02519226,0.9756165
-0.219696,0.0214386,0.9753265
-0.222641,0.02156067,0.9746552
-0.2963715,0.02507019,0.9547272
-0.2498169,0.02285767,0.9680176
-0.2528229,-0.03353882,0.9669189
-0.2609711,-0.004852295,0.9653168
-0.2815247,-0.08514404,0.9557648
-0.2561798,-0.04022217,0.9657745
-0.2732391,-0.1136017,0.9552002
-0.3162994,-0.2566528,0.913269
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.5815582,0.06311035,0.8110504
-0.5706482,0.05740356,0.8191681
-0.5858612,0.08587646,0.8058319
-0.5904541,0.06083679,0.8047638
-0.6080322,0.04574585,0.7925873
-0.6074524,0.0368042,0.7934875
-0.6204376,0.01419067,0.7841187
-0.6327515,-0.005477905,0.7743225
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.3900146,-0.2381287,0.8894806
-0.4825287,-0.07728577,0.8724518
-0.5513458,-0.0458374,0.8330078
-0.5445404,0.003601074,0.8387146
-0.54953,0.00894165,0.8354034
-0.5346832,0.05995178,0.8429108
-0.5532074,0.08164978,0.82901
-0.5329437,0.07569885,0.8427429
-0.5330811,0.0821991,0.842041
-0.5357666,0.04623413,0.8430939
-0.5322113,0.07357788,0.843399
-0.5226746,0.07513428,0.8491974
-0.5335083,0.06242371,0.8434753
-0.5158844,0.07618713,0.853241
-0.5171509,0.08163452,0.8519745
-0.5153503,0.079422,0.8532867
-0.52005,0.08283997,0.8500977
-0.5155945,0.08818054,0.8522797
-0.4965668,0.06265259,0.8657227
-0.4508209,0.01249695,0.8925171
-0.4156189,0.02210999,0.909256
-0.4200745,0.01617432,0.9073334
-0.4173126,0.01319885,0.9086609
-0.4163208,0.02154541,0.9089508
-0.4127197,0.02508545,0.9105072
-0.4021301,0.03425598,0.9149323
-0.4095459,0.02194214,0.9120178
-0.4042969,0.03308105,0.9140167
-0.408783,0.03288269,0.9120331
-0.4078827,0.03208923,0.9124603
-0.4040222,0.04188538,0.9137726
-0.4062042,0.03320313,0.9131622
-0.4043579,0.03349304,0.9139709
-0.4034424,0.03292847,0.9143982
-0.4051971,0.03355408,0.9136047
-0.4069214,0.03291321,0.9128571
-0.4070892,0.03305054,0.9127808
-0.4072266,0.03294373,0.9127197
-0.4073181,0.03302002,0.912674
-0.3640747,0.027771,0.930954
-0.2761841,0.02082825,0.9608765
-0.06257629,0.01649475,0.9978943
0.002792358,0.002487183,0.9999847
0.1707916,-0.01889038,0.9851227
0.2158966,-0.0266571,0.9760437
0.3057098,-0.0302124,0.9516296
0.3111267,-0.01980591,0.9501495
0.3008118,-0.02919006,0.9532318
0.3024292,-0.03105164,0.952652
0.30513,-0.02844238,0.9518738
0.306427,-0.03016663,0.9514008
0.3095398,-0.02838135,0.9504547
0.3104706,-0.02420044,0.9502716
0.3131104,-0.01951599,0.9495087
0.3174133,-0.02218628,0.9480133
0.3157501,-0.0234375,0.9485474
0.3132935,-0.0275116,0.9492493
0.3127747,-0.02778625,0.9494019
0.3101654,-0.02679443,0.9502869
0.3101349,-0.02531433,0.9503479
0.3190308,-0.02018738,0.947525
0.3141022,-0.02340698,0.9490814
0.3052521,-0.02093506,0.9520264
0.3072815,-0.02444458,0.9512939
0.3074799,-0.02258301,0.9512787
0.3074493,-0.02363586,0.9512634
0.3086853,-0.02149963,0.9509125
0.3097992,-0.01965332,0.950592
0.3113556,-0.01628113,0.9501495
0.3058167,-0.03126526,0.9515686
0.3108215,-0.01983643,0.9502563
0.3088989,-0.02172852,0.9508362
0.3112946,-0.02320862,0.9500122
0.3122711,-0.02207947,0.9497223
0.3128204,-0.02366638,0.9495087
0.312912,-0.02322388,0.9494934
0.3135529,-0.02267456,0.949295
0.3141785,-0.02220154,0.9490967
0.3157959,-0.02185059,0.9485626
0.3153687,-0.02220154,0.9487
0.3118134,-0.02119446,0.9498901
0.3115692,-0.0196228,0.9500122
0.3126526,-0.02038574,0.949646
0.3132629,-0.02305603,0.9493713
0.3117371,-0.02293396,0.9498901
0.3120575,-0.02346802,0.9497681
0.3120575,-0.02345276,0.9497681
0.3114319,-0.02481079,0.9499359
0.3087769,-0.02256775,0.9508514
0.3084869,-0.02270508,0.950943
0.2812653,0.004379272,0.95961
0.2652435,-0.01438904,0.9640656
0.2713318,-0.005569458,0.9624634
0.2710419,-0.006332397,0.9625397
0.2714233,-0.006698608,0.9624329
0.2708893,-0.006256104,0.9625854
0.2754059,-0.001968384,0.961319
0.2762146,-0.009338379,0.9610443
0.2715149,-0.01730347,0.962265
0.2753448,-0.01773071,0.9611664
0.2758484,-0.01174927,0.9611206
0.2751617,-0.01208496,0.9613037
0.2741089,-0.01020813,0.9616394
0.2739258,-0.009613037,0.9616852
0.2745667,-0.01051331,0.9615021
0.2743988,-0.01071167,0.9615479
0.2735138,-0.01301575,0.9617615
0.2733612,-0.01338196,0.9618073
0.27388,-0.01467896,0.9616394
0.27388,-0.01473999,0.9616394
0.2740784,-0.0153656,0.9615784
0.2746887,-0.01521301,0.9613953
0.2726288,-0.01582336,0.9619751
0.2731781,-0.01605225,0.9618225
0.2752533,-0.01408386,0.9612579
0.2752838,-0.01254272,0.9612732
0.271698,-0.01248169,0.9622955
0.2710876,-0.01199341,0.9624786
0.2710114,-0.007568359,0.9625397
0.2730865,-0.00819397,0.9619446
0.2730255,-0.003051758,0.9619904
0.2733459,-0.002258301,0.9618988
0.2756042,-0.001754761,0.9612579
0.2765198,-0.001159668,0.9609985
0.2643585,-0.01377869,0.9643097
0.2726898,-0.02804565,0.9616852
0.273941,-0.02200317,0.9614868
0.2745514,-0.02124023,0.9613342
0.2739716,-0.02073669,0.9615021
0.2773285,-0.01860046,0.9605865
0.2765198,-0.03363037,0.9604034
0.2789307,-0.02484131,0.9599762
0.2932892,-0.02050781,0.9557953
0.2848663,-0.0171051,0.9584045
0.2528076,-0.06843567,0.9650879
0.2388306,-0.09881592,0.9660034
0.2272339,-0.09596252,0.9690857
0.2026978,-0.1080933,0.9732513
0.1963348,-0.1249237,0.9725342
0.1673279,-0.1278076,0.9775696
0.1392212,-0.1519928,0.9785156
0.1177673,-0.1585083,0.9803009
0.05140686,-0.1543579,0.9866638
0.03411865,-0.2270355,0.9732819
-0.03500366,-0.2288055,0.9728241
-0.05505371,-0.2644653,0.9628143
-0.1193237,-0.3055725,0.9446564
-0.1474762,-0.3901978,0.9088287
-0.1802673,-0.3416748,0.9223633
-0.2451172,-0.4908752,0.8360291
0,0,0
0,0,0
-0.2740021,-0.4295044,0.8604736
-0.2801971,-0.4292908,0.8585815
0,0,0
0,0,0
-0.2994843,-0.4369659,0.8481445
0,0,0
0,0,0
0,0,0
-0.3019409,-0.4254608,0.8531036
-0.2918549,-0.4160309,0.8612213
-0.29245,-0.418457,0.859848
0,0,0
-0.3135376,-0.3829346,0.868927
-0.3130951,-0.3326874,0.8895264
-0.4165497,-0.3781586,0.8267212
-0.3313599,-0.2663727,0.9051056
-0.3580322,-0.3235931,0.875824
-0.3608704,-0.3056183,0.8811035
-0.3742828,-0.2476501,0.8936157
-0.3650818,-0.2279053,0.9026337
-0.3907318,-0.2073975,0.8968201
-0.3806152,-0.1770935,0.907608
-0.3784943,-0.1729279,0.9093018
-0.3697357,-0.187912,0.9099274
-0.3816223,-0.1805267,0.9065094
-0.3945923,-0.1575012,0.9052429
-0.3873138,-0.1679535,0.9065094
-0.3771515,-0.168396,0.9107056
-0.3754425,-0.1735077,0.9104462
-0.3766785,-0.1782684,0.9090118
-0.3773804,-0.1781464,0.9087524
-0.3765564,-0.1776276,0.9091949
-0.3760529,-0.1777039,0.9093781
