Position X,Position Y,Position Z
-1.47277,0.7153633,-1.091436
-1.472734,0.7153995,-1.091362
-1.472635,0.7153409,-1.091398
-1.472566,0.7155204,-1.09148
-1.472591,0.7155218,-1.091549
-1.472618,0.7155232,-1.091557
-1.472584,0.7154832,-1.091551
-1.472459,0.7152741,-1.09153
-1.472466,0.7151954,-1.091562
-1.472296,0.7154298,-1.091431
-1.472246,0.7155631,-1.091394
-1.472328,0.7152648,-1.091464
-1.472264,0.7154427,-1.09155
-1.47245,0.7156022,-1.091509
-1.472486,0.715168,-1.091544
-1.472527,0.7151325,-1.091557
-1.472577,0.715802,-1.091583
-1.472602,0.7158186,-1.091575
-1.472396,0.7153025,-1.091574
-1.472192,0.7154479,-1.091563
-1.472398,0.7157292,-1.091438
-1.472423,0.7157173,-1.091412
-1.472461,0.7156248,-1.091414
-1.472487,0.7156146,-1.091391
-1.472528,0.7155952,-1.091334
-1.472578,0.7156,-1.091271
-1.471896,0.7160623,-1.091456
-1.471893,0.7160926,-1.09144
-1.472322,0.7159889,-1.091479
-1.472042,0.7157621,-1.091499
-1.472003,0.7158709,-1.09147
-1.472302,0.7158682,-1.091467
-1.472158,0.7157583,-1.091454
-1.472074,0.7157221,-1.091491
-1.472126,0.7156885,-1.091452
-1.472143,0.7156844,-1.09144
-1.472184,0.7157679,-1.091472
-1.472234,0.7159243,-1.091517
-1.472455,0.7157049,-1.091519
-1.472476,0.7156882,-1.091523
-1.472388,0.7158849,-1.091595
-1.472438,0.7158837,-1.091605
-1.472491,0.7158134,-1.091616
-1.472525,0.7158906,-1.091492
-1.472567,0.7157769,-1.091558
-1.472051,0.715709,-1.091673
-1.472169,0.7157774,-1.091537
-1.472185,0.7157872,-1.091536
-1.472222,0.7157412,-1.091444
-1.472093,0.7155969,-1.09153
-1.47209,0.7155764,-1.091547
-1.472243,0.7158885,-1.09144
-1.472304,0.7158735,-1.09142
-1.472338,0.7158842,-1.091424
-1.472386,0.7158766,-1.091393
-1.472428,0.7158797,-1.091383
-1.472366,0.7157669,-1.09137
-1.472028,0.7154396,-1.091443
-1.472115,0.7159584,-1.091504
-1.472136,0.7159879,-1.091509
-1.471863,0.7159185,-1.091537
-1.472012,0.715878,-1.091611
-1.472175,0.7161918,-1.091604
-1.472146,0.7161951,-1.091498
-1.472198,0.7162297,-1.091509
-1.472225,0.7162523,-1.091508
-1.472055,0.7161789,-1.091603
-1.471997,0.7163079,-1.091477
-1.472019,0.7161071,-1.091503
-1.472025,0.7161133,-1.091493
-1.472096,0.716171,-1.091433
-1.471974,0.7157686,-1.091446
-1.471907,0.7161405,-1.091513
-1.471924,0.7161033,-1.091523
-1.472241,0.7160256,-1.091526
-1.47191,0.7156377,-1.091573
-1.471884,0.7161524,-1.091612
-1.471896,0.7162006,-1.091626
-1.471948,0.7157769,-1.091527
-1.471893,0.715791,-1.091412
-1.471874,0.7162664,-1.091475
-1.472031,0.7160733,-1.091415
-1.471818,0.7159142,-1.091431
-1.471785,0.7161236,-1.091432
-1.472076,0.7159719,-1.091428
-1.472172,0.7159503,-1.091473
-1.471935,0.7158101,-1.091372
-1.471959,0.7160227,-1.091335
-1.4721,0.715848,-1.091577
-1.472,0.7157853,-1.091621
-1.472057,0.7160456,-1.091481
-1.472078,0.7160301,-1.09146
-1.471995,0.7159097,-1.091481
-1.4717,0.7161322,-1.091439
-1.471895,0.7162399,-1.091429
-1.471771,0.7160726,-1.091441
-1.471501,0.7161512,-1.091473
-1.471413,0.7160206,-1.091397
-1.471728,0.7159069,-1.091431
-1.471726,0.7161152,-1.091471
-1.471638,0.7161045,-1.091564
-1.471808,0.7161243,-1.091514
-1.471756,0.7158074,-1.091552
-1.471768,0.7159858,-1.091448
-1.471826,0.7159247,-1.091647
-1.471841,0.7158926,-1.091648
