Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.116394,-0.1693878,0.9786377,-0.04380798,-0.1752167,0.983551
-0.1160889,-0.1694641,0.9786682,-0.04502869,-0.1740265,0.9837036
-0.1160736,-0.1697845,0.9786072,-0.04399109,-0.1745758,0.9836578
-0.1164856,-0.1698914,0.9785461,-0.04325867,-0.1740417,0.9837799
-0.1177063,-0.1711273,0.9781799,-0.04170227,-0.1739655,0.9838562
-0.1177063,-0.1711273,0.9781799,-0.04170227,-0.1739655,0.9838562
-0.1177063,-0.1711273,0.9781799,-0.04170227,-0.1739655,0.9838562
-0.1177063,-0.1711273,0.9781799,-0.04170227,-0.1739655,0.9838562
-0.1177063,-0.1711273,0.9781799,-0.04170227,-0.1739655,0.9838562
-0.1177673,-0.1710052,0.9781952,-0.04176331,-0.1717072,0.9842529
-0.1181793,-0.1702881,0.9782715,-0.04164124,-0.1712646,0.9843292
-0.1181793,-0.1702881,0.9782715,-0.04164124,-0.1712646,0.9843292
-0.1329498,-0.1671906,0.9769135,-0.04452515,-0.1727295,0.9839478
-0.127121,-0.1663971,0.977829,-0.04452515,-0.1721802,0.9840546
-0.127121,-0.1663971,0.977829,-0.04452515,-0.1721802,0.9840546
-0.1269989,-0.1661072,0.97789,-0.0447998,-0.1719666,0.9840698
-0.1251984,-0.1658325,0.9781647,-0.04269409,-0.171936,0.9841766
-0.1251526,-0.1653137,0.9782562,-0.04194641,-0.1717529,0.9842377
-0.1250763,-0.1655884,0.9782257,-0.04135132,-0.1713562,0.9843292
-0.1250763,-0.1656036,0.9782257,-0.04136658,-0.1702728,0.9845276
-0.1250916,-0.1655121,0.9782257,-0.04074097,-0.1714935,0.9843292
-0.1248627,-0.1652832,0.978302,-0.04046631,-0.172226,0.9842224
-0.1249542,-0.1651611,0.978302,-0.04043579,-0.1718903,0.9842834
-0.125412,-0.1653748,0.9782104,-0.04034424,-0.1715546,0.9843445
-0.1271973,-0.1652374,0.9780121,-0.04051208,-0.1715393,0.9843292
-0.1254883,-0.1654663,0.9781952,-0.04042053,-0.1716003,0.9843292
-0.1263733,-0.1653137,0.9781036,-0.04039001,-0.170929,0.9844513
-0.1269226,-0.1656799,0.9779663,-0.04017639,-0.1707611,0.9844818
-0.1269531,-0.1659851,0.9779053,-0.04019165,-0.1710205,0.984436
-0.1270752,-0.1647339,0.9781036,-0.04089355,-0.170578,0.9844818
-0.1264648,-0.1646881,0.9781952,-0.04112244,-0.1709442,0.9844055
-0.1254272,-0.1641998,0.9784088,-0.04145813,-0.1711273,0.9843597
-0.1250458,-0.1639557,0.9785004,-0.04165649,-0.1716919,0.9842529
-0.1249542,-0.1639099,0.9785156,-0.04171753,-0.1705627,0.9844513
-0.1248322,-0.1650543,0.9783478,-0.04127502,-0.1702576,0.9845276
-0.125,-0.1650238,0.9783325,-0.04171753,-0.1706543,0.984436
-0.124176,-0.1652374,0.9783936,-0.0423584,-0.1706238,0.9844208
-0.1250153,-0.1661224,0.9781342,-0.04226685,-0.1712494,0.984314
-0.1183929,-0.163208,0.9794464,-0.04502869,-0.1685333,0.9846649
-0.1136322,-0.1615601,0.9802856,-0.03390503,-0.16716,0.9853363
-0.1160889,-0.1599731,0.9802551,-0.03573608,-0.1695557,0.9848633
-0.1179504,-0.1598969,0.9800568,-0.03422546,-0.1652679,0.9856415
-0.1179504,-0.1598969,0.9800568,-0.03422546,-0.1652679,0.9856415
-0.11763,-0.160675,0.9799652,-0.03440857,-0.1656494,0.9855804
-0.1170959,-0.1614532,0.9799042,-0.03489685,-0.1639862,0.9858398
-0.1177063,-0.1619263,0.9797516,-0.03526306,-0.1652679,0.985611
-0.1174164,-0.1618652,0.9797974,-0.03540039,-0.1653442,0.9855957
-0.1166229,-0.1622467,0.9798279,-0.03564453,-0.1653595,0.9855804
-0.1157837,-0.1624603,0.9798889,-0.03604126,-0.1654205,0.9855499
-0.1149292,-0.1647339,0.9796143,-0.03611755,-0.1663971,0.9853821
-0.1138306,-0.1647644,0.9797363,-0.03657532,-0.1661072,0.9854126
-0.1141968,-0.164856,0.9796753,-0.03704834,-0.1662903,0.9853668
-0.1143951,-0.1651611,0.979599,-0.03695679,-0.1661835,0.9853973
-0.1142426,-0.1646271,0.9797058,-0.03794861,-0.1662598,0.9853363
-0.1140137,-0.1643066,0.9797821,-0.03820801,-0.1645508,0.9856262
-0.1136475,-0.164032,0.9798737,-0.03851318,-0.1653137,0.9854736
-0.1131439,-0.1649933,0.9797668,-0.03872681,-0.1654205,0.9854584
-0.1140747,-0.1647339,0.9797058,-0.03889465,-0.1686249,0.9849091
-0.1131897,-0.1647949,0.9797974,-0.03991699,-0.1688538,0.9848175
-0.1141205,-0.1671143,0.9792938,-0.03996277,-0.1695404,0.9847107
-0.1131592,-0.1673126,0.9793701,-0.039505,-0.1697845,0.9846802
-0.1130981,-0.1676331,0.9793243,-0.03930664,-0.1705475,0.9845581
-0.1147919,-0.168045,0.9790649,-0.03890991,-0.1706696,0.9845428
-0.1149597,-0.1685944,0.9789429,-0.03872681,-0.1714478,0.9844208
-0.1131134,-0.1683502,0.9792023,-0.0385437,-0.1715851,0.9844055
-0.1130371,-0.1677704,0.9793091,-0.03889465,-0.1718445,0.9843445
-0.1122894,-0.1670685,0.9795227,-0.03797913,-0.1717682,0.9843903
-0.1122284,-0.1671448,0.9795074,-0.03894043,-0.1721039,0.9842987
-0.1125488,-0.1673889,0.9794312,-0.03962708,-0.1724701,0.9842072
-0.1128845,-0.1685486,0.9792023,-0.04008484,-0.171463,0.9843597
-0.1128845,-0.1685486,0.9792023,-0.04008484,-0.171463,0.9843597
-0.1128845,-0.1685486,0.9792023,-0.04008484,-0.171463,0.9843597
-0.1128845,-0.1685486,0.9792023,-0.04008484,-0.171463,0.9843597
-0.1128845,-0.1685486,0.9792023,-0.04008484,-0.171463,0.9843597
-0.1126556,-0.1704407,0.9788971,-0.03952026,-0.1708984,0.9844818
-0.1126556,-0.1704407,0.9788971,-0.03952026,-0.1708984,0.9844818
-0.1128998,-0.1714935,0.9786835,-0.03944397,-0.1674194,0.9850922
-0.1127777,-0.1716766,0.9786682,-0.03945923,-0.1674957,0.9850769
-0.112793,-0.1720734,0.9785919,-0.0398407,-0.1671295,0.9851227
-0.1130066,-0.1721954,0.9785461,-0.04060364,-0.166214,0.9852448
-0.1132507,-0.172226,0.9785156,-0.04055786,-0.1661987,0.9852448
-0.1132965,-0.1722565,0.9785004,-0.04109192,-0.1657715,0.9852905
-0.1133728,-0.1722107,0.9785004,-0.04284668,-0.1652527,0.9853058
-0.1131744,-0.1724243,0.9784851,-0.04237366,-0.1651611,0.9853516
-0.1130371,-0.1726532,0.9784698,-0.04199219,-0.1651917,0.9853516
