Position X,Position Y,Position Z
-1.485663,0.6828179,-1.083672
-1.485666,0.682797,-1.083762
-1.485666,0.682797,-1.083762
-1.485666,0.682797,-1.083762
-1.485547,0.6828446,-1.083729
-1.485547,0.6828446,-1.083729
-1.485429,0.683192,-1.083812
-1.485547,0.6829138,-1.083755
-1.485543,0.6829152,-1.083757
-1.485343,0.6832066,-1.083735
-1.485246,0.6830995,-1.08368
-1.485794,0.6827705,-1.083587
-1.485556,0.6823404,-1.08363
-1.485666,0.6834245,-1.083653
-1.485666,0.6834245,-1.083653
-1.485514,0.6827004,-1.083624
-1.48562,0.6827314,-1.083594
-1.485503,0.6830218,-1.083783
-1.485793,0.6829748,-1.083683
-1.485592,0.6826141,-1.083854
-1.485529,0.6831751,-1.08376
-1.485831,0.6833189,-1.08377
-1.485692,0.6832478,-1.083597
-1.485384,0.6826296,-1.083686
-1.485444,0.6828036,-1.083862
-1.48575,0.6833107,-1.08367
-1.485813,0.6825275,-1.083689
-1.485726,0.6828039,-1.083804
-1.485728,0.6828055,-1.083811
-1.4858,0.6828201,-1.083889
-1.485702,0.6822348,-1.083854
-1.48565,0.6826761,-1.083795
-1.486014,0.6827593,-1.08381
-1.485662,0.6829474,-1.083717
-1.485665,0.6829615,-1.083704
-1.485812,0.6827145,-1.083569
-1.485696,0.6830711,-1.083708
-1.485978,0.6830955,-1.083596
-1.485733,0.6827104,-1.083584
-1.485618,0.6832709,-1.083912
-1.48563,0.6833079,-1.083936
-1.485655,0.6829121,-1.083747
-1.485655,0.6829121,-1.083747
-1.485913,0.6834586,-1.083835
-1.485999,0.6828868,-1.083774
-1.485602,0.6830621,-1.08388
-1.485581,0.6831625,-1.083814
-1.485868,0.6828263,-1.083804
-1.485898,0.6828094,-1.083825
-1.485575,0.6832902,-1.083735
-1.485776,0.6830668,-1.083648
-1.485784,0.6830616,-1.083649
-1.485797,0.6829977,-1.083761
-1.485931,0.6828656,-1.083618
-1.485953,0.6828616,-1.083606
-1.486,0.6827519,-1.083785
-1.48585,0.6831522,-1.083641
-1.485977,0.6829059,-1.083564
-1.485801,0.68275,-1.083647
-1.485892,0.6834457,-1.083752
-1.485901,0.6834908,-1.083771
-1.486111,0.6830192,-1.083664
-1.485855,0.6828048,-1.083685
-1.485914,0.6833065,-1.083756
-1.486086,0.6827703,-1.08369
-1.48573,0.6828141,-1.083718
-1.485717,0.6828041,-1.083728
-1.485858,0.6834412,-1.083859
-1.485858,0.6834412,-1.083859
-1.485719,0.682847,-1.083829
-1.485719,0.682847,-1.083829
-1.48592,0.6827307,-1.083768
-1.48592,0.6827307,-1.083768
-1.485566,0.6829627,-1.083632
-1.485626,0.6831942,-1.083644
-1.485615,0.6832199,-1.083642
-1.48565,0.6828153,-1.083784
-1.48584,0.6829984,-1.083775
-1.485893,0.6830454,-1.083769
-1.485904,0.6831026,-1.083791
-1.485936,0.6827388,-1.08367
-1.485822,0.6828277,-1.083728
-1.485891,0.6830637,-1.083701
-1.485813,0.6828742,-1.083671
-1.485836,0.6828842,-1.083674
-1.485742,0.6831322,-1.083753
-1.485748,0.6831484,-1.083757
-1.485641,0.6827285,-1.083689
-1.485543,0.6828468,-1.083782
-1.485853,0.6831656,-1.083809
-1.485538,0.6830533,-1.083896
-1.485874,0.6827433,-1.083686
-1.485565,0.6828251,-1.083818
-1.485343,0.6828108,-1.083998
-1.485711,0.6825836,-1.083858
-1.485478,0.6831141,-1.084107
-1.485591,0.6834059,-1.084212
-1.485432,0.6838124,-1.084722
-1.485432,0.6838124,-1.084722
-1.48494,0.6851337,-1.086038
-1.484844,0.6856253,-1.086519
-1.483874,0.6868629,-1.088163
-1.483799,0.6879365,-1.088995
-1.482737,0.6901317,-1.090656
-1.482243,0.6915102,-1.091807
-1.481279,0.6944361,-1.094309
-1.480684,0.6966853,-1.095627
-1.480053,0.6986296,-1.096907
-1.477514,0.7048287,-1.100621
-1.476529,0.707844,-1.101675
-1.475443,0.7109635,-1.10279
-1.47336,0.7178195,-1.10492
-1.471549,0.72142,-1.105976
-1.467983,0.7335646,-1.106426
-1.467983,0.7335646,-1.106426
-1.465756,0.7421007,-1.106552
-1.464578,0.746841,-1.10576
-1.461269,0.7564828,-1.104384
-1.459684,0.7619199,-1.10302
-1.455598,0.7739154,-1.099101
-1.453795,0.7803644,-1.096877
