Position X,Position Y,Position Z
-1.484643,0.7211568,-1.073292
-1.48472,0.7210541,-1.073258
-1.484555,0.7208045,-1.072982
-1.484545,0.7203898,-1.073269
-1.484748,0.7207539,-1.073316
-1.484748,0.7207539,-1.073316
-1.484754,0.7209136,-1.073225
-1.484754,0.7209136,-1.073225
-1.484754,0.7209136,-1.073225
-1.484754,0.7209136,-1.073225
-1.484754,0.7209136,-1.073225
-1.48507,0.7210693,-1.073197
-1.485116,0.7211289,-1.073283
-1.485116,0.7211289,-1.073283
-1.484995,0.720885,-1.073224
-1.485127,0.7206106,-1.073395
-1.485126,0.7208683,-1.073419
-1.485146,0.7211893,-1.073299
-1.485117,0.7208872,-1.073149
-1.484809,0.7208912,-1.073249
-1.484796,0.7209642,-1.073272
-1.485299,0.7210271,-1.073342
-1.48516,0.720933,-1.073423
-1.485576,0.7214296,-1.073413
-1.485609,0.7215891,-1.073282
-1.48588,0.7212403,-1.073168
-1.48568,0.7207003,-1.073153
-1.485906,0.7210705,-1.073173
-1.485903,0.7210982,-1.073181
-1.485882,0.7211969,-1.073158
-1.485837,0.7211266,-1.07319
-1.485721,0.720994,-1.073256
-1.485681,0.7209029,-1.073368
-1.485681,0.7209029,-1.073368
-1.485518,0.7210827,-1.07328
-1.485656,0.7211812,-1.073332
-1.48553,0.7206175,-1.073153
-1.485663,0.7207611,-1.073099
-1.485644,0.7206399,-1.073184
-1.486036,0.7209098,-1.073035
-1.486208,0.7211211,-1.073203
-1.486211,0.72102,-1.073305
-1.486211,0.72102,-1.073305
-1.485796,0.7208121,-1.073004
-1.48598,0.7206032,-1.072967
-1.486127,0.7208521,-1.073293
-1.486111,0.7208736,-1.073318
-1.486129,0.7210803,-1.073426
-1.486058,0.7204888,-1.073143
-1.485908,0.7204237,-1.07331
-1.485817,0.720582,-1.073163
-1.486102,0.7208629,-1.073268
-1.486211,0.7211285,-1.073383
-1.486217,0.7211435,-1.073409
-1.486151,0.7211714,-1.073316
-1.486441,0.7206693,-1.073331
-1.486502,0.7208228,-1.073313
-1.486238,0.7213678,-1.073374
-1.486227,0.7213044,-1.073493
-1.485928,0.7211101,-1.073222
-1.485893,0.7211223,-1.073227
-1.485893,0.7211223,-1.073227
-1.486635,0.7206705,-1.073161
-1.486587,0.7206602,-1.073177
-1.486601,0.7206419,-1.073197
-1.486609,0.7204602,-1.073335
-1.486448,0.7202756,-1.073188
-1.486422,0.7203166,-1.073077
-1.486408,0.7202787,-1.073085
-1.486402,0.7210867,-1.073362
-1.486402,0.7210867,-1.073362
-1.486309,0.7212963,-1.073318
-1.486309,0.7212963,-1.073318
-1.486309,0.7212963,-1.073318
-1.486309,0.7212963,-1.073318
-1.486309,0.7212963,-1.073318
-1.486334,0.719866,-1.073225
-1.486334,0.719866,-1.073225
-1.48643,0.7203531,-1.073242
-1.486446,0.7200656,-1.073185
-1.486715,0.7202456,-1.073185
-1.486674,0.7201762,-1.073181
-1.486771,0.7204978,-1.073087
-1.486866,0.7204192,-1.073166
-1.486554,0.7206907,-1.073255
-1.486532,0.7207496,-1.07329
-1.486361,0.7205944,-1.073097
-1.48661,0.7207925,-1.073076
-1.486904,0.7200918,-1.072943
-1.486904,0.7200918,-1.072943
-1.486841,0.7201071,-1.072984
-1.486846,0.7203069,-1.073165
-1.486643,0.7201235,-1.073261
-1.486426,0.7203634,-1.073148
-1.486914,0.7202702,-1.073193
-1.486955,0.720319,-1.073236
-1.486935,0.7203069,-1.073233
-1.486869,0.7205307,-1.073091
-1.486869,0.7205307,-1.073091
-1.487178,0.7201023,-1.073089
-1.487115,0.7200794,-1.073101
-1.487047,0.7200511,-1.073082
-1.48684,0.7200148,-1.073129
-1.487104,0.7200513,-1.073053
