Position X,Position Y,Position Z
-1.477922,0.7279592,-1.074662
-1.477984,0.7278886,-1.074745
-1.477984,0.7278886,-1.074745
-1.477857,0.7280793,-1.07476
-1.477857,0.7280793,-1.07476
-1.478152,0.7278137,-1.074607
-1.477919,0.7278864,-1.074668
-1.478161,0.7276433,-1.074639
-1.478218,0.7276044,-1.074694
-1.477878,0.7272542,-1.074795
-1.477851,0.7279119,-1.074761
-1.477835,0.727762,-1.074822
-1.478186,0.7276616,-1.074703
-1.478031,0.7272978,-1.074785
-1.478305,0.7273834,-1.07485
-1.478444,0.7273853,-1.074823
-1.478401,0.7274473,-1.074699
-1.478141,0.7276595,-1.074702
-1.478199,0.7276649,-1.074602
-1.478197,0.7276437,-1.074565
-1.478115,0.7274911,-1.074562
-1.478127,0.7275071,-1.074563
-1.47817,0.7275681,-1.074524
-1.478042,0.7274454,-1.074554
-1.478006,0.7275138,-1.074414
-1.478014,0.7275181,-1.074416
-1.478152,0.7274642,-1.074684
-1.478129,0.727392,-1.074723
-1.478125,0.7274497,-1.074713
-1.478178,0.7273641,-1.074831
-1.47823,0.727397,-1.074833
-1.478241,0.7273998,-1.074855
-1.478269,0.7274373,-1.074875
-1.478202,0.727308,-1.074803
-1.478238,0.7273848,-1.074773
-1.478238,0.7273848,-1.074773
-1.478145,0.7272747,-1.074691
-1.478125,0.7273118,-1.07463
-1.47808,0.7270715,-1.074741
-1.478079,0.7273777,-1.074676
-1.47813,0.7274714,-1.074626
-1.477945,0.7275403,-1.074701
-1.477865,0.7276938,-1.074677
-1.477856,0.7276354,-1.074579
-1.478017,0.7274673,-1.074515
-1.477897,0.7276173,-1.07471
-1.477874,0.7277207,-1.074645
-1.478272,0.727597,-1.074638
-1.478158,0.7269216,-1.074723
-1.478205,0.7267718,-1.074822
-1.478369,0.7272546,-1.074641
-1.478388,0.7272613,-1.074644
-1.478324,0.7268295,-1.074721
-1.478305,0.7273839,-1.074747
-1.478485,0.7273011,-1.074504
-1.478565,0.7271664,-1.074614
-1.478074,0.7272158,-1.074651
-1.478038,0.7271986,-1.074651
-1.478508,0.7272949,-1.074595
-1.478348,0.7270086,-1.074603
-1.478347,0.7269745,-1.074535
-1.478561,0.7269232,-1.074531
-1.478584,0.7269175,-1.074525
-1.478343,0.7268991,-1.074515
-1.478289,0.7273233,-1.074529
-1.478421,0.7271941,-1.074478
-1.478236,0.7272327,-1.074665
-1.478236,0.7272327,-1.074665
-1.478236,0.7272327,-1.074665
-1.478363,0.7270823,-1.074676
-1.478179,0.7274537,-1.074641
-1.478179,0.7274537,-1.074641
-1.478079,0.7275138,-1.074662
-1.478079,0.7275138,-1.074662
-1.478079,0.7275138,-1.074662
-1.478315,0.7268429,-1.074677
-1.478138,0.7271645,-1.074571
-1.478123,0.7271802,-1.07457
-1.478302,0.7270174,-1.074513
-1.47823,0.7267897,-1.07447
-1.478159,0.7270596,-1.074512
-1.47814,0.7270489,-1.074506
-1.478063,0.7268844,-1.074545
-1.47826,0.7267532,-1.07457
-1.478196,0.7269926,-1.0746
-1.478293,0.7271957,-1.074506
-1.478342,0.7270181,-1.074516
-1.47836,0.7270117,-1.074508
-1.478274,0.7270041,-1.074602
-1.47826,0.7270145,-1.074602
-1.478352,0.7268934,-1.074556
-1.478299,0.7266035,-1.074661
-1.478284,0.7269907,-1.074683
-1.478213,0.7269731,-1.074734
-1.478197,0.7265091,-1.074581
-1.478188,0.726445,-1.07459
-1.478299,0.7269542,-1.074693
-1.478473,0.7268174,-1.074548
-1.478207,0.7265444,-1.074532
-1.478125,0.7269535,-1.074557
-1.478414,0.7268424,-1.074488
-1.478414,0.7268424,-1.074488
