Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.09848022,-0.1436005,0.9847107,-0.02774048,-0.1388702,0.9899139
-0.09777832,-0.1443024,0.9846802,-0.02723694,-0.1390381,0.9898987
-0.09771729,-0.145752,0.9844666,-0.02723694,-0.1389465,0.9899139
-0.09848022,-0.1455078,0.984436,-0.02787781,-0.1387177,0.9899292
-0.1068268,-0.1460876,0.9834747,-0.03694153,-0.1466827,0.9884796
-0.1068268,-0.1460876,0.9834747,-0.03694153,-0.1466827,0.9884796
-0.1068268,-0.1460876,0.9834747,-0.03694153,-0.1466827,0.9884796
-0.1040344,-0.1461945,0.9837646,-0.03579712,-0.1440125,0.9889221
-0.1033325,-0.1463165,0.9838257,-0.03500366,-0.1436615,0.9889984
-0.1029205,-0.146286,0.9838715,-0.03549194,-0.1437225,0.9889679
-0.1021729,-0.1440582,0.9842682,-0.0345459,-0.1437378,0.9889984
-0.1022949,-0.1461182,0.9839478,-0.03451538,-0.1443939,0.9889069
-0.1013336,-0.1462708,0.984024,-0.03448486,-0.1450043,0.9888153
-0.1040497,-0.145462,0.9838715,-0.03344727,-0.1444397,0.9889374
-0.1040497,-0.145462,0.9838715,-0.03344727,-0.1444397,0.9889374
-0.1040649,-0.1461487,0.9837646,-0.03358459,-0.1446533,0.9889069
-0.1041107,-0.1486511,0.9833832,-0.03474426,-0.1442413,0.9889221
-0.1025391,-0.1489563,0.9835052,-0.03450012,-0.1445618,0.9888916
-0.1026917,-0.1474457,0.9837189,-0.03414917,-0.1443634,0.9889221
-0.1027527,-0.1474609,0.9837036,-0.03440857,-0.1443481,0.9889221
-0.1043549,-0.1465302,0.9836731,-0.03431702,-0.1457214,0.9887238
-0.1043396,-0.1449738,0.983902,-0.03453064,-0.1449585,0.9888306
-0.1071625,-0.1441956,0.9837189,-0.03479004,-0.1463165,0.9886169
-0.1047821,-0.1429291,0.9841614,-0.03431702,-0.1464386,0.9886169
-0.1053162,-0.1429749,0.9841003,-0.03359985,-0.1459808,0.9887085
-0.1065369,-0.1419525,0.9841156,-0.02140808,-0.1460266,0.9890442
-0.09741211,-0.1298065,0.9867401,-0.01927185,-0.141861,0.9896851
-0.1071625,-0.1334991,0.9852295,-0.0241394,-0.1417694,0.9895935
-0.1069946,-0.1369934,0.9847717,-0.02282715,-0.1425171,0.9895172
-0.1080322,-0.1365356,0.984726,-0.02288818,-0.1432953,0.9894104
-0.1068878,-0.1364288,0.9848633,-0.02185059,-0.14328,0.9894257
-0.1054688,-0.1365051,0.9850006,-0.02282715,-0.1431122,0.9894409
-0.104538,-0.1367798,0.9850616,-0.02278137,-0.1435242,0.9893799
-0.1038971,-0.136673,0.9851379,-0.02262878,-0.1454315,0.9891052
-0.1046143,-0.1376495,0.9849396,-0.02177429,-0.1458588,0.9890594
-0.09899902,-0.1345062,0.9859467,-0.0239563,-0.1439514,0.9892883
-0.1011353,-0.1327209,0.9859772,-0.04188538,-0.1431122,0.9888153
-0.1030121,-0.1381836,0.9850311,-0.03773499,-0.1432343,0.9889526
-0.104126,-0.1380157,0.9849243,-0.03738403,-0.1436615,0.9889069
-0.1040039,-0.1377563,0.9849854,-0.03721619,-0.1436768,0.9889221
-0.1041107,-0.1370392,0.9850616,-0.03642273,-0.1429291,0.9890594
-0.1040649,-0.1370697,0.9850769,-0.03646851,-0.1431427,0.9890137
-0.1040649,-0.1370697,0.9850769,-0.03646851,-0.1431427,0.9890137
-0.1039581,-0.1369476,0.9850922,-0.0365448,-0.1431427,0.9890137
-0.1042786,-0.1367645,0.9850922,-0.03625488,-0.1453094,0.9887085
-0.1040955,-0.1365662,0.9851379,-0.03649902,-0.1460419,0.9886017
-0.1048737,-0.1366119,0.9850464,-0.03662109,-0.1472168,0.9884186
-0.1044922,-0.1367493,0.9850769,-0.03646851,-0.1481934,0.9882813
-0.1034698,-0.1368256,0.9851685,-0.0362854,-0.1476898,0.9883575
-0.1032257,-0.1360931,0.9852905,-0.03617859,-0.1472778,0.9884186
-0.1035004,-0.1358948,0.9852905,-0.0358429,-0.1472931,0.9884338
-0.1026154,-0.1341858,0.9856262,-0.03520203,-0.1469574,0.9885101
-0.1027069,-0.1341553,0.985611,-0.03489685,-0.1465912,0.9885712
-0.1026154,-0.133606,0.9857025,-0.03460693,-0.1467743,0.9885559
-0.106369,-0.1334839,0.985321,-0.03453064,-0.1464691,0.9886017
-0.10672,-0.1338043,0.9852295,-0.03297424,-0.1454926,0.9888
-0.1067505,-0.1342773,0.9851685,-0.0330658,-0.1457214,0.9887695
-0.1070251,-0.1340332,0.9851685,-0.0327301,-0.1446686,0.9889374
-0.1069489,-0.1341095,0.9851685,-0.03240967,-0.1456451,0.9888
-0.1075897,-0.1341248,0.9850922,-0.03242493,-0.1453247,0.9888458
-0.1074219,-0.1329956,0.98526,-0.03186035,-0.1453094,0.9888611
-0.1087494,-0.131897,0.9852753,-0.03160095,-0.1458435,0.9888
-0.1094208,-0.1329498,0.9850616,-0.03178406,-0.1450653,0.9889069
-0.1064301,-0.1331482,0.9853516,-0.0315094,-0.1448669,0.9889374
-0.1072083,-0.1338196,0.9851837,-0.03147888,-0.1461182,0.9887543
-0.106781,-0.133728,0.9852448,-0.03207397,-0.1455841,0.9888153
-0.1084747,-0.1339874,0.9850159,-0.03244019,-0.145401,0.9888306
-0.1083679,-0.1338043,0.9850616,-0.03236389,-0.14534,0.9888458
-0.1092987,-0.135025,0.984787,-0.03343201,-0.1452942,0.9888153
-0.1095428,-0.1369781,0.9844818,-0.03413391,-0.1461792,0.9886627
-0.1095428,-0.1369781,0.9844818,-0.03413391,-0.1461792,0.9886627
-0.1093445,-0.1368713,0.9845276,-0.03359985,-0.1456299,0.9887543
-0.109436,-0.136795,0.9845276,-0.03253174,-0.145874,0.9887543
-0.1093445,-0.1366425,0.9845581,-0.03263855,-0.1452179,0.9888458
-0.1093445,-0.1366425,0.9845581,-0.03263855,-0.1452179,0.9888458
-0.1090698,-0.135788,0.9847107,-0.03260803,-0.1448517,0.9889069
-0.1092834,-0.1365662,0.9845734,-0.03239441,-0.1456146,0.9888
-0.1092834,-0.1365662,0.9845734,-0.03239441,-0.1456146,0.9888
-0.1095276,-0.1365051,0.9845581,-0.03274536,-0.1457977,0.9887695
-0.1095276,-0.1365051,0.9845581,-0.03274536,-0.1457977,0.9887695
-0.1095886,-0.1362915,0.9845734,-0.03285217,-0.145874,0.9887543
-0.109787,-0.1364746,0.9845276,-0.0335083,-0.1457367,0.988739
-0.1099854,-0.1364441,0.9845123,-0.03474426,-0.1476288,0.9884186
-0.1100616,-0.1371765,0.9844055,-0.03459167,-0.1489716,0.9882202
-0.1106415,-0.1369934,0.9843597,-0.03468323,-0.148056,0.9883575
-0.110733,-0.1368866,0.984375,-0.0345459,-0.1492767,0.9881744
-0.1107635,-0.1392975,0.984024,-0.03556824,-0.1491241,0.9881744
-0.1109467,-0.1413422,0.9837189,-0.03556824,-0.1479492,0.9883423
-0.1109467,-0.1407318,0.9837952,-0.03492737,-0.1477203,0.9884033
-0.1108856,-0.1414795,0.9837036,-0.03361511,-0.1481171,0.9883881
-0.1108856,-0.1414795,0.9837036,-0.03361511,-0.1481171,0.9883881
-0.1089783,-0.1424561,0.9837799,-0.03437805,-0.1471863,0.9885101
-0.1107178,-0.1427917,0.9835358,-0.03434753,-0.1471405,0.9885101
-0.1107178,-0.1427917,0.9835358,-0.03434753,-0.1471405,0.9885101
-0.110733,-0.1435089,0.983429,-0.03367615,-0.147049,0.9885406
-0.1107788,-0.1435394,0.9834137,-0.03465271,-0.1472473,0.9884796
-0.1094055,-0.1442413,0.9834595,-0.03483582,-0.1471252,0.9884949
-0.1124115,-0.1442413,0.9831238,-0.03497314,-0.1474304,0.9884491
-0.1124115,-0.1442413,0.9831238,-0.03497314,-0.1474304,0.9884491
-0.1126251,-0.1453552,0.9829407,-0.03591919,-0.1472321,0.9884338
-0.110199,-0.1457214,0.9831543,-0.03617859,-0.1468048,0.9884949
-0.1104889,-0.1464386,0.983017,-0.0357666,-0.1467743,0.9885101
-0.1104889,-0.1464386,0.983017,-0.0357666,-0.1467743,0.9885101
-0.1120605,-0.1469727,0.9827576,-0.03395081,-0.145874,0.9887085
-0.1121063,-0.1488037,0.9824829,-0.0337677,-0.1459503,0.9887085
-0.1111755,-0.14888,0.9825745,-0.03385925,-0.1460724,0.988678
-0.1121826,-0.1496582,0.9823456,-0.03475952,-0.1466522,0.9885712
-0.1122131,-0.1494446,0.9823761,-0.03321838,-0.1469574,0.9885712
-0.1120605,-0.1502686,0.9822693,-0.03361511,-0.1468658,0.9885712
-0.1117554,-0.1473999,0.9827271,-0.03448486,-0.1468658,0.9885406
-0.1107635,-0.1457672,0.9830933,-0.03538513,-0.147934,0.9883575
-0.1103821,-0.1452332,0.9832153,-0.03572083,-0.1498871,0.9880524
-0.110321,-0.1443176,0.9833527,-0.03607178,-0.1511993,0.9878387
-0.1097107,-0.1429749,0.9836121,-0.03642273,-0.1513977,0.987793
-0.1091919,-0.1425934,0.9837341,-0.03694153,-0.1511383,0.9878082
-0.1077423,-0.140564,0.9841766,-0.03775024,-0.1519928,0.9876556
-0.1075439,-0.1396942,0.9843292,-0.0381012,-0.1519928,0.9876404
-0.1065826,-0.1396332,0.984436,-0.0382843,-0.1520233,0.9876251
-0.1057129,-0.1396637,0.9845276,-0.03799438,-0.1525116,0.9875641
-0.1055603,-0.1399078,0.9845123,-0.03790283,-0.15271,0.9875336
-0.1055756,-0.1400604,0.9844971,-0.03701782,-0.1529541,0.9875336
-0.1054688,-0.1410828,0.9843597,-0.0370636,-0.1537933,0.9873962
-0.1055603,-0.1419983,0.9842072,-0.03678894,-0.1533051,0.9874878
-0.1055298,-0.1420135,0.9842224,-0.03675842,-0.1536255,0.987442
-0.1055298,-0.1415558,0.9842834,-0.03707886,-0.1533813,0.9874573
-0.1061096,-0.1420441,0.9841461,-0.03691101,-0.1530304,0.9875183
-0.1061096,-0.1420441,0.9841461,-0.03691101,-0.1530304,0.9875183
-0.1062317,-0.1408539,0.9842987,-0.03657532,-0.1530304,0.9875336
-0.1063385,-0.1398468,0.984436,-0.03738403,-0.1534424,0.987442
-0.1063538,-0.1398163,0.984436,-0.03741455,-0.1526794,0.9875641
-0.1068726,-0.1399536,0.9843597,-0.03694153,-0.1525421,0.9875946
-0.1062927,-0.1400146,0.9844208,-0.03662109,-0.1526489,0.9875946
-0.1063385,-0.1399841,0.9844208,-0.03656006,-0.1524506,0.9876251
-0.1073761,-0.1398621,0.9843292,-0.03674316,-0.1523285,0.9876404
-0.1074371,-0.1408997,0.9841614,-0.03645325,-0.1516724,0.9877472
-0.1074677,-0.1416626,0.9840546,-0.03598022,-0.1509857,0.9878693
-0.1077576,-0.1414795,0.9840546,-0.0357666,-0.1504364,0.9879608
