Position X,Position Y,Position Z
-1.466333,0.7313597,-1.063169
-1.466338,0.7313781,-1.063169
-1.46632,0.7310731,-1.062987
-1.466201,0.7310519,-1.063139
-1.466192,0.7310238,-1.063143
-1.466533,0.7315249,-1.063104
-1.466533,0.7315249,-1.063104
-1.466533,0.7315249,-1.063104
-1.466533,0.7315249,-1.063104
-1.4664,0.7309628,-1.063149
-1.466413,0.7312894,-1.063194
-1.466413,0.7312894,-1.063194
-1.466524,0.731452,-1.063233
-1.466446,0.7312386,-1.063113
-1.466335,0.7314754,-1.063036
-1.466448,0.7313578,-1.063069
-1.466458,0.7313526,-1.063048
-1.466483,0.7312436,-1.062972
-1.46651,0.7313099,-1.062926
-1.466505,0.7311666,-1.063061
-1.466463,0.7310977,-1.063022
-1.466595,0.7313168,-1.063052
-1.466743,0.7310586,-1.063003
-1.466491,0.7311432,-1.063296
-1.466491,0.7311432,-1.063296
-1.466224,0.7314725,-1.063115
-1.466467,0.7311294,-1.063156
-1.466444,0.7312443,-1.063057
-1.466442,0.7312629,-1.063041
-1.466326,0.7311485,-1.063029
-1.466026,0.7314198,-1.063156
-1.466195,0.7315331,-1.063086
-1.466136,0.7313874,-1.063106
-1.466057,0.7313087,-1.063107
-1.466048,0.7314739,-1.063053
-1.466274,0.731678,-1.062993
-1.466237,0.7312758,-1.063199
-1.466222,0.7313273,-1.063066
-1.466265,0.7313373,-1.063165
-1.466402,0.7312596,-1.063193
-1.466401,0.7312548,-1.063199
-1.466041,0.7312107,-1.063117
-1.466366,0.7315428,-1.063165
-1.466478,0.7311962,-1.063259
-1.466481,0.7315361,-1.06308
-1.466132,0.7313957,-1.063042
-1.466227,0.7315569,-1.06298
-1.466082,0.7311199,-1.063122
-1.466124,0.7312815,-1.063059
-1.466397,0.7312951,-1.06319
-1.466442,0.7313769,-1.063222
-1.466238,0.7313378,-1.063099
-1.466238,0.7313378,-1.063099
-1.466019,0.7310357,-1.06316
-1.466006,0.731025,-1.063162
-1.465997,0.7313042,-1.062983
-1.465972,0.7311873,-1.063109
-1.466035,0.731395,-1.063215
-1.466035,0.731395,-1.063215
-1.466188,0.7310376,-1.063131
-1.466114,0.7313092,-1.06322
-1.46612,0.7313318,-1.063214
-1.466439,0.7315445,-1.063194
-1.466129,0.7310781,-1.063135
-1.466099,0.7310679,-1.063112
-1.466307,0.7309573,-1.063052
-1.466256,0.7309926,-1.063167
-1.466237,0.7314961,-1.063124
-1.466255,0.7315509,-1.063096
-1.466129,0.7310305,-1.063113
-1.466108,0.7310386,-1.06312
-1.466108,0.7310386,-1.06312
