Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.1017456,-0.0969696,0.9900665,-0.015625,-0.1076202,0.9940643
-0.1020966,-0.09461975,0.9902496,-0.01550293,-0.1065369,0.9941864
-0.102356,-0.09492493,0.9902039,-0.01550293,-0.1063995,0.9942017
-0.103714,-0.09617615,0.9899445,-0.01747131,-0.1086884,0.9939117
-0.103714,-0.09617615,0.9899445,-0.01747131,-0.1086884,0.9939117
-0.103714,-0.09617615,0.9899445,-0.01747131,-0.1086884,0.9939117
-0.103714,-0.09617615,0.9899445,-0.01747131,-0.1086884,0.9939117
-0.1035919,-0.09794617,0.9897766,-0.01889038,-0.1106567,0.9936676
-0.1122284,-0.1016083,0.9884644,-0.03063965,-0.1085358,0.9936066
-0.1122284,-0.1016083,0.9884644,-0.03063965,-0.1085358,0.9936066
-0.1135864,-0.1000977,0.9884644,-0.02604675,-0.1172638,0.9927521
-0.1134949,-0.09880066,0.9886017,-0.02749634,-0.1159058,0.9928741
-0.1077881,-0.1005859,0.9890594,-0.02404785,-0.1168976,0.9928436
-0.1077881,-0.1005859,0.9890594,-0.02404785,-0.1168976,0.9928436
-0.1073608,-0.1014557,0.9890289,-0.02339172,-0.1170807,0.9928436
-0.1064911,-0.1020355,0.9890594,-0.02290344,-0.1161499,0.9929657
-0.1038971,-0.101532,0.9893799,-0.02276611,-0.1157074,0.9930115
-0.1025238,-0.1061401,0.9890442,-0.02355957,-0.1172485,0.9928131
-0.1018066,-0.1074829,0.9889679,-0.02258301,-0.1161346,0.9929657
-0.1013489,-0.1078644,0.9889832,-0.02302551,-0.1166229,0.9929047
-0.09954834,-0.1080627,0.9891357,-0.02308655,-0.1165009,0.9929199
-0.09945679,-0.1078796,0.9891663,-0.02365112,-0.1156464,0.9929962
-0.09947205,-0.1067657,0.9892883,-0.0241394,-0.1145782,0.9931183
-0.09880066,-0.1065063,0.9893799,-0.02453613,-0.1142731,0.9931335
-0.09887695,-0.1052399,0.989502,-0.0243988,-0.1134491,0.9932404
-0.09848022,-0.1057434,0.989502,-0.02386475,-0.1116943,0.993454
-0.1018524,-0.1040649,0.9893341,-0.01519775,-0.1151733,0.9932251
-0.09873962,-0.1052704,0.9895172,-0.01853943,-0.1148987,0.9931946
-0.1005554,-0.1068726,0.9891663,-0.01712036,-0.1151733,0.9931946
-0.1006927,-0.105835,0.9892578,-0.01605225,-0.1151123,0.9932098
-0.1011047,-0.1056671,0.9892426,-0.01670837,-0.1140594,0.9933319
-0.100647,-0.1054688,0.9893036,-0.01713562,-0.1145172,0.9932709
-0.1007538,-0.1056671,0.9892731,-0.01676941,-0.1144409,0.9932861
-0.1007385,-0.1055603,0.9892883,-0.01722717,-0.1144867,0.9932709
-0.1007385,-0.1054688,0.9893036,-0.01747131,-0.1145325,0.9932556
-0.1006775,-0.1053467,0.9893188,-0.01757813,-0.1144409,0.9932709
-0.1004028,-0.1056519,0.9893188,-0.01747131,-0.1147308,0.9932404
-0.1001587,-0.1060333,0.9892883,-0.01756287,-0.115448,0.9931488
-0.09970093,-0.1056976,0.9893799,-0.01731873,-0.1173706,0.9929352
-0.1001587,-0.105835,0.9893188,-0.01731873,-0.1173706,0.9929352
-0.1007843,-0.1055603,0.9892883,-0.01756287,-0.1217651,0.9924011
-0.1007843,-0.1055603,0.9892883,-0.01756287,-0.1217651,0.9924011
-0.1004944,-0.105484,0.9893188,-0.01728821,-0.12146,0.9924316
-0.1003265,-0.1043243,0.9894562,-0.0171051,-0.1215363,0.9924316
-0.09899902,-0.1049194,0.9895325,-0.01695251,-0.1254883,0.9919434
-0.1068115,-0.1159973,0.9874878,-0.01977539,-0.1257172,0.9918671
-0.1080475,-0.1158447,0.9873657,-0.02041626,-0.124527,0.9920044
-0.1065521,-0.1136627,0.9877777,-0.02098083,-0.1247864,0.9919586
-0.1042328,-0.1115875,0.988266,-0.02189636,-0.1252747,0.9918671
-0.1046448,-0.1111755,0.988266,-0.02229309,-0.1256866,0.991806
-0.1044769,-0.1116638,0.9882355,-0.02267456,-0.1264801,0.9916992
-0.1044464,-0.1114044,0.988266,-0.02264404,-0.1260376,0.9917603
-0.1041412,-0.1113739,0.9882965,-0.02261353,-0.1260376,0.9917603
-0.1037903,-0.1103363,0.9884491,-0.02244568,-0.1267242,0.9916687
-0.1036835,-0.1105957,0.9884338,-0.02226257,-0.1265411,0.9916992
-0.1036987,-0.1111755,0.9883728,-0.02319336,-0.1266785,0.9916687
-0.1038361,-0.1118622,0.9882813,-0.02339172,-0.125946,0.991745
-0.1021576,-0.1118469,0.9884491,-0.02337646,-0.1255493,0.991806
-0.1014099,-0.1119843,0.9885101,-0.02479553,-0.125,0.9918365
-0.09985352,-0.1121063,0.9886627,-0.02539063,-0.1257477,0.9917297
-0.09942627,-0.112381,0.9886627,-0.02542114,-0.125351,0.9917755
-0.09933472,-0.1126556,0.9886475,-0.02398682,-0.1251373,0.9918365
-0.09741211,-0.1129608,0.9888,-0.02415466,-0.1252594,0.9918213
-0.09759521,-0.1130829,0.9887695,-0.0242157,-0.1249084,0.9918671
-0.100647,-0.1104584,0.9887543,-0.02558899,-0.1243134,0.9918976
-0.1007843,-0.1110992,0.988678,-0.02449036,-0.1241455,0.9919586
-0.1006775,-0.1114044,0.9886475,-0.02320862,-0.1240387,0.9920044
-0.1016388,-0.111084,0.9885864,-0.02388,-0.122467,0.9921722
-0.1018829,-0.1103668,0.9886475,-0.0239563,-0.1210327,0.9923553
-0.1018829,-0.1103668,0.9886475,-0.0239563,-0.1210327,0.9923553
-0.1018829,-0.1103668,0.9886475,-0.0239563,-0.1210327,0.9923553
-0.1018829,-0.1103668,0.9886475,-0.0239563,-0.1210327,0.9923553
-0.1028442,-0.1096954,0.9886169,-0.02375793,-0.12117,0.9923401
-0.1028595,-0.1094666,0.9886475,-0.02351379,-0.1209259,0.9923706
-0.1028595,-0.1094666,0.9886475,-0.02351379,-0.1209259,0.9923706
-0.1027679,-0.1101532,0.9885712,-0.02337646,-0.1207123,0.9924011
-0.1000214,-0.1140137,0.9884186,-0.02330017,-0.1207123,0.9924011
-0.09999084,-0.1139069,0.9884338,-0.02282715,-0.1203461,0.9924622
-0.1000061,-0.1141663,0.9884033,-0.02334595,-0.1205139,0.9924316
-0.1004333,-0.111145,0.9887085,-0.02326965,-0.1205444,0.9924316
-0.1005402,-0.1110382,0.9887085,-0.02313232,-0.1206207,0.9924164
-0.1009521,-0.1112671,0.9886322,-0.02326965,-0.1197662,0.9925232
-0.1040344,-0.1086273,0.9886169,-0.02282715,-0.1212921,0.9923401
-0.104126,-0.109024,0.9885559,-0.02319336,-0.1213074,0.9923401
-0.1049652,-0.1093903,0.9884338,-0.02313232,-0.1214294,0.9923248
-0.1047363,-0.1094513,0.9884491,-0.02333069,-0.1216278,0.9922943
-0.1022339,-0.1129608,0.9883118,-0.02270508,-0.1224976,0.9922028
-0.1013947,-0.1131134,0.9883881,-0.0231781,-0.1215515,0.9923096
-0.1006927,-0.1131134,0.9884644,-0.0231781,-0.1213989,0.9923248
-0.1004639,-0.112854,0.9885101,-0.02217102,-0.1206512,0.9924316
-0.1004791,-0.1129913,0.9884949,-0.02255249,-0.1208344,0.9924011
-0.1002197,-0.1130219,0.9885101,-0.02304077,-0.121109,0.9923706
-0.09999084,-0.1137695,0.9884491,-0.02264404,-0.1205902,0.9924316
-0.1023407,-0.1122437,0.9883881,-0.02311707,-0.120636,0.9924164
-0.102417,-0.1150055,0.9880676,-0.02290344,-0.1205597,0.9924316
-0.1017456,-0.1149292,0.9881439,-0.02301025,-0.1203308,0.9924622
-0.1014099,-0.1143036,0.9882507,-0.02278137,-0.1205902,0.9924316
-0.1014099,-0.1143036,0.9882507,-0.02278137,-0.1205902,0.9924316
-0.1016693,-0.1143188,0.9882202,-0.02255249,-0.1209259,0.9924011
-0.104126,-0.1144562,0.9879456,-0.02330017,-0.1222534,0.992218
-0.1050262,-0.1148376,0.9878082,-0.02455139,-0.1222534,0.9921875
-0.1050415,-0.1147766,0.9878082,-0.02476501,-0.1211853,0.9923096
-0.10112,-0.1172943,0.9879303,-0.02479553,-0.1209717,0.9923401
-0.1010742,-0.1172943,0.9879303,-0.02494812,-0.1204681,0.9924011
-0.1007233,-0.1195068,0.9877014,-0.02505493,-0.1204071,0.9924011
-0.1009369,-0.1176453,0.9878998,-0.02500916,-0.1204987,0.9923859
-0.1008606,-0.1180573,0.9878693,-0.02450562,-0.1205902,0.9923859
-0.1010132,-0.1180878,0.9878387,-0.02490234,-0.1205902,0.9923859
-0.1008301,-0.1165314,0.9880524,-0.02490234,-0.1201324,0.9924316
-0.1012115,-0.1162262,0.9880371,-0.02635193,-0.1204987,0.9923553
-0.1026001,-0.1165009,0.9878693,-0.02571106,-0.1200714,0.9924164
-0.1038666,-0.116745,0.9877014,-0.02616882,-0.1190796,0.9925385
-0.105011,-0.1179962,0.987442,-0.02577209,-0.1189117,0.992569
-0.1034698,-0.116745,0.9877472,-0.0269165,-0.1171265,0.9927521
-0.1061859,-0.1161194,0.9875336,-0.02914429,-0.1191101,0.9924469
-0.1068726,-0.1171722,0.9873352,-0.03012085,-0.1197052,0.9923401
-0.1076813,-0.1189117,0.9870453,-0.02902222,-0.1190796,0.9924469
-0.1084747,-0.1218262,0.9866028,-0.03222656,-0.1201935,0.992218
-0.1088104,-0.1222534,0.9865112,-0.03216553,-0.1226196,0.9919281
-0.1080475,-0.121994,0.986618,-0.03161621,-0.1231232,0.9918823
-0.1104584,-0.1285248,0.9855194,-0.03036499,-0.1317749,0.990799
-0.1130066,-0.1322479,0.9847412,-0.0291748,-0.1290588,0.9911957
-0.1137085,-0.1322327,0.9846649,-0.02893066,-0.1298523,0.9911041
-0.1136322,-0.1322937,0.9846649,-0.02934265,-0.1311951,0.990921
-0.1098328,-0.1355438,0.9846497,-0.03045654,-0.1309052,0.990921
-0.1098328,-0.1355438,0.9846497,-0.03045654,-0.1309052,0.990921
-0.1096954,-0.1352692,0.9847107,-0.03088379,-0.1307068,0.9909363
-0.1096954,-0.1352692,0.9847107,-0.03088379,-0.1307068,0.9909363
-0.1093445,-0.131546,0.9852448,-0.03170776,-0.1304932,0.9909363
-0.1093445,-0.131546,0.9852448,-0.03170776,-0.1304932,0.9909363
-0.1095123,-0.1301575,0.9854126,-0.0315094,-0.1284027,0.9912109
-0.1101685,-0.1313782,0.9851837,-0.03222656,-0.1283264,0.9911957
-0.1113586,-0.1318207,0.9849854,-0.03237915,-0.1278534,0.9912567
-0.1115723,-0.1327057,0.984848,-0.03244019,-0.1278534,0.9912567
-0.1130829,-0.1318359,0.984787,-0.02680969,-0.1303558,0.9911041
-0.111557,-0.1319427,0.9849548,-0.02867126,-0.1296234,0.9911346
-0.1112061,-0.1329651,0.984848,-0.03117371,-0.127121,0.991394
-0.110199,-0.1338806,0.984848,-0.03163147,-0.1271667,0.9913635
-0.1101685,-0.1350403,0.9846802,-0.03005981,-0.1284332,0.9912567
-0.1099548,-0.1362305,0.9845428,-0.02790833,-0.1294556,0.9911804
-0.1099701,-0.136734,0.9844818,-0.02763367,-0.1283264,0.991333
-0.1103058,-0.1353455,0.9846344,-0.02206421,-0.1258392,0.9917908
-0.1112061,-0.1348267,0.9846039,-0.0223999,-0.1249695,0.9918976
-0.1096802,-0.1335297,0.9849548,-0.02400208,-0.1285858,0.991394
-0.1077271,-0.1334839,0.9851685,-0.02432251,-0.1277771,0.9915009
-0.1075592,-0.1315765,0.9854431,-0.02438354,-0.1270447,0.9915924
-0.1067657,-0.1287842,0.9859009,-0.02433777,-0.1259613,0.9917297
-0.1055603,-0.1287079,0.9860382,-0.0242157,-0.1259918,0.9917297
-0.1040192,-0.1289673,0.9861755,-0.02340698,-0.1235657,0.9920502
-0.1052399,-0.1271362,0.9862823,-0.02441406,-0.1217499,0.9922485
-0.102951,-0.1276093,0.9864502,-0.0241394,-0.1202087,0.9924469
-0.1007538,-0.1245422,0.9870758,-0.02487183,-0.1206665,0.9923706
-0.1007538,-0.1245422,0.9870758,-0.02487183,-0.1206665,0.9923706
-0.1000824,-0.1239166,0.9872284,-0.02584839,-0.1197052,0.9924622
-0.1022034,-0.1221008,0.9872284,-0.02592468,-0.1200104,0.9924316
-0.1042328,-0.1220398,0.98703,-0.02696228,-0.1205444,0.9923401
-0.1048584,-0.124939,0.9866028,-0.02815247,-0.1204224,0.9923096
-0.1093597,-0.1251678,0.986084,-0.02963257,-0.1226349,0.9920044
-0.1103821,-0.1253815,0.9859314,-0.02983093,-0.1229095,0.9919586
-0.1102448,-0.1278992,0.9856262,-0.03500366,-0.1320496,0.9906158
-0.1127625,-0.1369476,0.9841309,-0.03128052,-0.1355896,0.9902649
-0.1159515,-0.1355896,0.9839478,-0.03076172,-0.1333313,0.9905853
-0.1171875,-0.1327667,0.9841919,-0.03729248,-0.1318054,0.9905701
-0.1171875,-0.1327667,0.9841919,-0.03729248,-0.1318054,0.9905701
-0.1195068,-0.133194,0.9838409,-0.03701782,-0.1314697,0.9906158
-0.1213074,-0.129776,0.9840851,-0.03738403,-0.1311798,0.9906464
-0.1215668,-0.1292267,0.9841309,-0.03736877,-0.1298828,0.9908142
-0.1237946,-0.1252594,0.9843597,-0.04327393,-0.1323853,0.9902496
-0.1235046,-0.1254425,0.984375,-0.03335571,-0.131485,0.9907532
-0.1233826,-0.1217651,0.984848,-0.03588867,-0.1230316,0.991745
-0.1242371,-0.1217804,0.9847412,-0.03562927,-0.1261139,0.9913635
-0.1169739,-0.1162109,0.9862976,-0.03448486,-0.117157,0.9925079
-0.1174774,-0.1147766,0.9864044,-0.0330658,-0.1218109,0.9919891
-0.1174774,-0.1147766,0.9864044,-0.0330658,-0.1218109,0.9919891
-0.1126556,-0.1138763,0.9870758,-0.03121948,-0.1204071,0.992218
-0.1138611,-0.1156006,0.9867401,-0.03012085,-0.1188049,0.9924469
-0.1135712,-0.1148682,0.9868622,-0.03027344,-0.1181335,0.9925232
-0.1127625,-0.1114655,0.9873352,-0.02798462,-0.1166687,0.9927673
-0.1133423,-0.1112213,0.9873047,-0.02828979,-0.1148376,0.992981
-0.1347961,-0.1110077,0.9846191,-0.04431152,-0.1197968,0.991806
-0.1224823,-0.1131287,0.9859924,-0.03544617,-0.1178589,0.9923859
-0.1260986,-0.11409,0.9854279,-0.03900146,-0.1165466,0.9924164
-0.1262512,-0.111969,0.9856567,-0.03688049,-0.116272,0.9925232
-0.1242065,-0.1114807,0.9859619,-0.04051208,-0.1230011,0.9915619
-0.1238403,-0.1095886,0.9862213,-0.04147339,-0.1211395,0.9917603
-0.1242523,-0.1127625,0.9858093,-0.04388428,-0.1163025,0.9922333
-0.1253052,-0.1128235,0.985672,-0.04177856,-0.1180878,0.9921112
-0.1260986,-0.1150208,0.985321,-0.04721069,-0.115448,0.9921875
-0.1271057,-0.1148224,0.9852142,-0.04568481,-0.1121826,0.99263
-0.1277008,-0.1148987,0.9851227,-0.04219055,-0.1097717,0.9930573
-0.1324921,-0.116394,0.984314,-0.03974915,-0.1183777,0.992157
-0.1324921,-0.116394,0.984314,-0.03974915,-0.1183777,0.992157
-0.1303406,-0.1111298,0.9852142,-0.03779602,-0.1180267,0.9922791
-0.1211395,-0.1117706,0.9863129,-0.03147888,-0.114975,0.9928589
-0.1274261,-0.1103668,0.985672,-0.03105164,-0.114502,0.9929352
-0.1231384,-0.114624,0.985733,-0.03186035,-0.1187897,0.9924011
-0.1227112,-0.1127167,0.9860077,-0.03170776,-0.1196136,0.9923096
-0.1226807,-0.1140137,0.9858704,-0.0304718,-0.1161499,0.9927521
-0.1217651,-0.1135406,0.9860382,-0.03041077,-0.116684,0.992691
-0.1212006,-0.1127014,0.9862061,-0.03115845,-0.1180878,0.9925079
-0.1199036,-0.1125641,0.9863739,-0.03129578,-0.1189117,0.9924011
-0.1183929,-0.1125183,0.986557,-0.03135681,-0.1188812,0.9924011
-0.118866,-0.1124725,0.9865112,-0.03048706,-0.1201782,0.9922791
